pool,text
pua_topic,职场生命周期的物理缩短计划
pua_topic,跨物种丧尸化潜能的深度激发
pua_topic,个人剩余器官与公司资产的绑定
pua_topic,痛感管理与本季度绩效的对齐
pua_topic,面向末日下沉市场的血肉奉献度
pua_topic,关于你剩余寿命的商业折现率
pua_topic,剥夺睡眠以实现终极的降本增效
pua_topic,团队献祭精神的底层逻辑重构
pua_topic,边缘业务的强制性赛博肉体融合
pua_topic,针对低价值员工的无害化处理
pua_opening,用八根触手同时将办公室的所有出口死死焊住
pua_opening,边喝着泡满眼球的枸杞茶边对你发出阴冷的笑声
pua_opening,把一叠带有你基因序列的裁员名单重重拍在桌上
pua_opening,强行调低了房间内的含氧量让你开始大口喘气
pua_opening,用一条触手卷着上一任总监的头骨在半空中把玩
pua_opening,假惺惺地给你拉开椅子但椅子上布满了生锈的尖刺
pua_opening,叹了口气说你的存在严重拉低了整个房间的商业价值
pua_opening,直接把办公室的灯光调成了极度压抑的血红色
pua_opening,从抽屉里掏出一份必须用血签名的卖身契约
pua_opening,还没等你站稳就开始用极其密集的黑话对你进行精神轰炸
pua_pressure,痛心疾首地质问你为什么对公司的福报缺乏饥饿感
pua_pressure,指着你越来越重的黑眼圈说这是缺乏狼性驱动的表现
pua_pressure,抱怨你在末日求生的私欲严重阻碍了公司的战略闭环
pua_pressure,拿出几张伪造的举报信说你已经成了全公司的公敌
pua_pressure,阴阳怪气地夸你每天准时下班是对公司电费的最大贡献
pua_pressure,用触手勒住你的脖子说你的产出根本对不起你呼吸的空气
pua_pressure,强烈谴责你竟然妄想在黑心企业里寻找个人边界感
pua_pressure,逼问你为什么不能像外面的丧尸一样做到24小时无休
pua_pressure,疯狂洗脑说你现在受的苦都是为了死后能进大厂的祖坟
pua_pressure,当面算出你这辈子的剩余价值连半个过期罐头都不如
pua_threat,把你做成物理防沉迷标本挂在茶水间给全员赋能
pua_threat,让你去大门外和尸群进行面对面的下沉市场拓展
pua_threat,扣除你本月所有的抗毒血清并在你的工位上投放病毒
pua_threat,把你塞进碎纸机里重新打包成三个便宜好用的实习生
pua_threat,在明天的投票环节直接动用一票否决权把你送走
pua_threat,把你的名字写进给隔壁食人族据点的新春慰问名单里
pua_threat,没收你剩下的半个脑子用来强行升级公司的门禁系统
pua_threat,让你去给仓库那台暴走的变异粉碎机做深度人工清洁
pua_threat,以优化组织架构为由剥夺你作为碳基生物的合法呼吸权
pua_threat,把你物理降级为一台只会给客户自动发邮件的肉体服务器
