pool,text
evidence_action,试图用透明胶带把主控室那扇裂开的防爆玻璃粘起来
evidence_action,正把丧尸已经咬穿的通风口用几张废报纸随便糊住
evidence_action,悄悄拔掉了大楼火灾报警器的电源因为觉得它太费电
evidence_action,把已经严重泄露的核素电池直接踢进了员工休息室的床底
evidence_action,正在用一根生锈的铁丝强行短接快要爆炸的主发电机
evidence_action,试图把安全门上失效的电子锁用口香糖给强行粘死
evidence_action,正把大厅里警报长鸣的毒气检测仪扔进水桶里物理静音
evidence_action,故意不修复承重墙的裂缝反而用几幅公司标语给盖住
evidence_action,偷偷把灭火器里的干粉倒出来换成了便宜的劣质面粉
evidence_action,把公司电网的紧急切断开关用一把大锁给焊死了
evidence_object,那个早就被丧尸体液腐蚀穿透但仍在使用的主输水管道
evidence_object,那扇门轴完全断裂只要风一吹就会倒的高管避难所大门
evidence_object,那个盖格计数器一靠近就会疯狂爆表的所谓安全饮水机
evidence_object,那堆已经短路冒火花但被要求坚持服役的监控服务器
evidence_object,那份早就指出大楼承重结构快要坍塌但被隐瞒的安全报告
evidence_object,那个指示灯全灭、甚至还在往外渗血的紧急逃生通道指示牌
evidence_object,那批其实是用易燃材料制作的所谓高级防火隔离板
evidence_object,那个里面装满变异虫卵但还在往各个楼层送风的中央空调
evidence_object,那本写满了安全设备全面瘫痪却无人修理的值班日志
evidence_object,那个外壳破裂、正不断向外辐射致命射线的备用电源箱
evidence_gone_wrong,突然炸开了一个大洞并向外喷涌出极度刺鼻的致命瓦斯气体
evidence_gone_wrong,表面裂开一道缝隙露出了里面早就被变异老鼠咬断的关键线缆
evidence_gone_wrong,发出一声闷响后直接融化穿透了地板露出了下面的尸坑
evidence_gone_wrong,突然短路并把方圆十米内的所有金属物体都变成了高压电极
evidence_gone_wrong,不小心掉出了掩盖大楼随时会发生粉尘爆炸的绝密调查文件
evidence_gone_wrong,突然崩裂飞出的大块碎片直接砸穿了用来抵御丧尸的最后防线
evidence_gone_wrong,伪装层脱落赫然露出了那扇直通重度感染区的生化隔离门已被破坏
evidence_gone_wrong,里面的核废料直接泄漏出来把旁边的盆栽瞬间变异成了食人花
evidence_gone_wrong,突然发出警报揭露了空气过滤系统其实一直都在向内排放毒气
evidence_gone_wrong,承重结构突然断裂并伴随着极其沉闷的大楼即将坍塌的哀鸣声
