pool,text,reward_type,reward_value_min,reward_value_max,weight
action,试图用涂改液把一整箱三年前的变质午餐肉日期改到明年,,,,
action,正驾驶着一台冒黑烟的叉车试图碾碎几个不听话的丧尸,,,,
action,躲在货架后面偷偷把公司仅存的抗毒血清换成生理盐水,,,,
action,用生锈的撬棍试图撬开一个写着“极度危险”的生化物资箱,,,,
action,把一堆显然已经被变异老鼠啃过的压缩饼干重新打包封装,,,,
action,对着一堆早就变异成某种真菌群落的医疗绷带进行盘点,,,,
action,试图用透明胶带修补那扇已经被丧尸砸出大洞的防爆门,,,,
action,正把那些感染了病毒的实习生伪装成货物码放在最上层,,,,
action,用灭火器里的干粉强行掩盖那一滩刚流出来的恶心绿色体液,,,,
action,试图把几条变异犬套上背带用来代替罢工的仓库搬运工,,,,
object,那个贴着“食用后可能长出第三只眼”标签的应急罐头箱,,,,
object,那台早就失控并且到处乱撞的赛博朋克自动分拣机器人,,,,
object,那扇号称能防核爆但实际上连风都挡不住的劣质防爆门,,,,
object,那堆一直在发出令人不安的咀嚼声的所谓“退货物资”,,,,
object,那个被经理要求严格保密且散发着剧毒气味的走私包裹,,,,
object,那瓶说明书上明确写着“致死率百分之百”的特效止痛药,,,,
object,那个用来掩盖高管偷窃物资痕迹的假账本,,,,
object,那台沾满血迹且履带里还卡着半截丧尸的破烂叉车,,,,
object,那箱原本用来救命却被换成了一箱过期砖头医疗补给,,,,
object,那个一靠近就会让盖格计数器疯狂报警的神秘金属柜,,,,
gone_wrong,突然剧烈膨胀并且炸出了一堆长着牙齿的诡异寄生虫,,,,
gone_wrong,直接融化穿透了三层地板并释放出极度刺鼻的迷幻气体,,,,
gone_wrong,突然启动并试图把方圆十米内的所有活物都打包寄给经理,,,,
gone_wrong,散发出一种能让碳基生物瞬间丧失理智开始互啃的香味,,,,
gone_wrong,把刚靠近的几个丧尸吓得连滚带爬地翻出了窗外,,,,
gone_wrong,开始自动播放一段极其凄厉且带有精神污染的离职演讲,,,,
gone_wrong,里面的不明生物竟然撕开包装开始帮你填写繁杂的出库单,,,,
gone_wrong,物理意义上长出了双腿并开始在仓库里疯狂逃窜,,,,
gone_wrong,突然产生巨大的吸力把几份阴阳合同连同笔一起吸了进去,,,,
gone_wrong,表面渗出了一层血水并开始拼凑出一张老板的扭曲笑脸,,,,
absurd_logic,这种变异不仅延长了保质期还大大降低了仓储保鲜成本,,,,
absurd_logic,它完美的帮我们解决了这个季度报损率过高的KPI痛点,,,,
absurd_logic,只要消费者吃不死这就算是我们在下沉市场的一种产品创新,,,,
absurd_logic,这完全符合公司今年提倡的“变废为宝”环保绿色生态战略,,,,
absurd_logic,这种程度的辐射刚好可以代替夜间的照明电费从而降本增效,,,,
absurd_logic,我们正好可以把它包装成盲盒卖给那些还在求生的外围难民,,,,
absurd_logic,只要它还会干活我们就不需要额外支付它昂贵的丧尸加班费,,,,
absurd_logic,这种物理上的破损反而增加了我们物资盘点时的透明度,,,,
absurd_logic,这是经理亲自部署的利用变异生物进行反向倒逼的狼性管理,,,,
absurd_logic,只要把这批危险品全卖给竞品公司我们就变相实现了市场垄断,,,,
escalation,决定立刻把它塞进高管们的专属空投补给箱里以表孝心,,,,
escalation,提议把这玩意儿当做这个月的销冠奖励强制发给业绩垫底的员工,,,,
escalation,准备连夜起草一份虚假的安全报告来骗取总部的巨额维修基金,,,,
escalation,打算把它直接锁进防爆库里然后把钥匙扔给外面游荡的变异犬,,,,
escalation,宣布成立一个由感染者组成的试吃小组来对它进行活体质检,,,,
escalation,提议立刻把它搬到大门口当做防御丧尸入侵的终极生化武器,,,,
escalation,准备用它作为诱饵去黑市换取自己逃跑用的直升机机票,,,,
escalation,强制要求所有仓库员工必须每天对它进行三次极其虔诚的朝拜,,,,
escalation,决定立刻把它倒卖给那个经常克扣我们物资的无良外部供应商,,,,
escalation,打算趁乱把它塞进经理那辆豪华防弹座驾的后备箱里,,,,
conflict_topic,那批“仅高管可用”的抗毒注射剂到底该不该上锁,,,,
conflict_topic,夜班仓库被咬伤员工的医疗费用该由谁承担,,,,
conflict_topic,被污染的应急罐头是销毁还是继续外卖,,,,
conflict_topic,叉车维修预算到底是被谁挪用了,,,,
conflict_topic,今天这车黑市走私货要不要签收,,,,
stance_a,先保住库存周转率其他都能后补,,,,
stance_a,这是经理亲批的流程你无权质疑,,,,
stance_a,高危物资必须锁在内仓谁碰谁负责,,,,
stance_a,仓库规章写得很清楚越权出库要连坐,,,,
stance_b,先救人再谈流程库存坏了可以重算,,,,
stance_b,你口中的流程就是拿来甩锅的遮羞布,,,,
stance_b,经理批的才更危险我们要自己留后手,,,,
stance_b,规则是死的人是活的现在就该破例,,,,
verbal_level,互相拿盘点表和监控截图当场对线,,,,
verbal_level,当着所有搬运工互揭走私和吃回扣旧账,,,,
