pool,text,reward_type,reward_value_min,reward_value_max,weight
action,正试图用廉价香水掩盖大理石地板上的一大滩新鲜血迹,,,,
action,疯狂修改访客登记簿以掩盖上周有三个快递员失踪的事实,,,,
action,对着门外苦苦哀求的幸存者大声朗读公司的付费入场套餐,,,,
action,试图把一具穿着工服的丧尸伪装成正在热情微笑的迎宾员,,,,
action,正把刚收到的外部空投救济粮偷偷塞进高管的专属储物柜,,,,
action,用极其生硬的客服腔调敷衍对讲机里传来的凄厉求救声,,,,
action,试图把已经被变异犬咬烂的公司宣传册强行塞给新访客,,,,
action,正对着一面满是裂痕的防弹玻璃练习极度虚伪的职业假笑,,,,
action,把前台的迎宾糖果全部换成了过期的精神镇定药物,,,,
action,试图用透明胶带封住那个一直在漏出诡异绿色气体的迎宾花篮,,,,
object,那本记录着极其离谱的死亡免责条款的访客登记簿,,,,
object,那个用来检测外来人员感染指数但早就坏掉的安检门,,,,
object,那个一直在播放极其洗脑的虚假繁荣宣传片的大屏幕,,,,
object,那盆被喂了太多丧尸血而长出声带的迎宾发财树,,,,
object,那个专门为高管预留但现在正往外渗血的VIP逃生通道,,,,
object,那叠号称能防病毒但其实是一擦就破的劣质迎宾口罩,,,,
object,那部一拿起听筒就会传出恐怖咀嚼声的前台座机,,,,
object,那张印着“欢迎回家”但沾满脑浆的巨型迎宾地毯,,,,
object,那个专门用来收缴外来幸存者武器和物资的黑心储物箱,,,,
object,那座早就被腐蚀得面目全非但仍被强行摆出来的公司沙盘,,,,
gone_wrong,突然大声播报起经理贪污抗毒血清的绝密录音,,,,
gone_wrong,把刚靠近的一个无辜快递员给物理意义上吞了进去,,,,
gone_wrong,表面浮现出一张扭曲的人脸并开始向外喷吐致幻毒气,,,,
gone_wrong,发生短路并把前台区域的重力系统搞得完全失常,,,,
gone_wrong,突然疯狂往外吐出大批印着“快逃”字样的血字纸条,,,,
gone_wrong,散发出一种能让所有外部访客瞬间失去理智的诡异频段,,,,
gone_wrong,直接融化成了一滩具有极强攻击性的变异黑色史莱姆,,,,
gone_wrong,把大门锁死并向外面游荡的尸群发送了热烈的欢迎信号,,,,
gone_wrong,突然裂开并展示出里面塞满的几十个高管走私奢侈品,,,,
gone_wrong,开始以极其扭曲的姿态模仿前台接待员的每一个动作,,,,
absurd_logic,这能极其有效地筛选掉那些付不起保护费的低净值访客,,,,
absurd_logic,这恰好体现了我们公司在末日依然保持着沉浸式的迎宾体验,,,,
absurd_logic,这种物理上的阻绝完美彰显了我们企业的核心竞争壁垒,,,,
absurd_logic,外面的幸存者正好可以作为我们安防系统的一手压力测试材料,,,,
absurd_logic,这是经理亲自批准的面向下沉市场的防御性防御策略,,,,
absurd_logic,适度的精神污染有助于提高访客对我们霸王条款的接受度,,,,
absurd_logic,只要把黑锅全扣给外包的变异保安就能实现完美的闭环,,,,
absurd_logic,这其实是我们为了彰显狼性文化而特意设置的服从性测试,,,,
absurd_logic,只要没人活着走出去就没有人能在消费者协会投诉我们,,,,
absurd_logic,利用废弃访客来发电源刚好填补了本季度的行政开支赤字,,,,
escalation,提议立刻把它包装成收费观光项目向外面的流浪者开放,,,,
escalation,打算把这段惨状拍成短视频用来做本季度的硬核企业宣传,,,,
escalation,要求所有新入职的倒霉蛋必须先给这玩意儿磕个头才能领工牌,,,,
escalation,准备把它直接挂在大门正中央当做震慑讨薪者的赛博图腾,,,,
escalation,提议趁乱把今天所有的接待费用强行划入高管的私人账户里,,,,
escalation,宣布把它纳入VIP访客的终极尊享服务套餐里强制捆绑销售,,,,
escalation,打算直接给它发一套工服让它代替前台去应付外面的丧尸,,,,
escalation,提议立刻向董事会申请一笔防化服采购预算然后自己私吞,,,,
escalation,要求每个路过的员工必须留下一点血液作为维持它运转的耗材,,,,
escalation,准备把它直接快递给那个经常给我们发律师函的无良竞品公司,,,,
conflict_topic,是否要放行一批未登记的外来幸存者进入大厅,,,,
conflict_topic,那条VIP通道到底该给高管还是伤员优先使用,,,,
conflict_topic,丢失的访客物资应不应该由前台全额赔偿,,,,
conflict_topic,安检门误判感染者导致事故该算谁责任,,,,
conflict_topic,接待区囤的抗毒口罩到底该公开发放还是内部截留,,,,
stance_a,先保高管和合同客户这是公司底线,,,,
stance_a,没有完整登记和担保的人一律不得入内,,,,
stance_a,前台只执行制度出了事按流程免责,,,,
stance_a,物资必须集中保管严禁个人擅自发放,,,,
stance_b,命比流程重要先救再补登记,,,,
stance_b,所谓VIP优先就是拿身份压人,,,,
stance_b,你们把制度当挡箭牌谁都不会服,,,,
stance_b,物资是大家的不是前台私库,,,,
verbal_level,隔着接待台互相指责对方草菅人命和贪污物资,,,,
verbal_level,当众翻出访客登记簿逐条追责互相打脸,,,,
verbal_level,拿着对讲机当扩音器公开喊话逼对方表态,,,,
physical_level,有人猛推闸机导致金属护栏整片倒地,,,,
physical_level,两人争抢门禁卡时把前台电脑和座机一起扯飞,,,,
