room,text
office,办公区只剩键盘灯时明时灭，空椅子对着没保存的文档发呆。
office,办公区安静得只剩日光灯的嗡鸣，偶尔有纸张被空调吹得翻页。
office,几台显示器停在同一张报表上，像有人刚离开又不打算回来。
meeting,会议室的白板还留着上轮讨论的箭头和问号，没人来擦。
meeting,会议室里椅子摆得整整齐齐，投影幕布垂着，空气却异常紧绷。
meeting,长桌上只剩几支没盖帽的笔，像一场争论刚刚散场。
warehouse,仓库货架间只听见通风机低鸣，标签纸在角落卷起边。
warehouse,仓库里堆着待处理箱子，叉车停在通道口，一动不动。
warehouse,冷白灯照着成排物资，地面轮痕交错，却看不见人影。
pantry,茶水间里空无一人，微波炉独自嗡嗡作响，仿佛在加热一份不存在的午餐。
pantry,水池边晾着两只杯子，咖啡机滴完最后一滴后归于沉默。
pantry,茶水间只剩消毒水和速溶咖啡的味道，门半掩着，没有脚步声。
reception,前台台灯亮着，登记簿摊开在最新一页，笔却不见了。
reception,接待区的电子钟跳过一分钟，门外走廊依旧空荡。
reception,前台电话安静地躺着，呼叫灯没亮，整个区域像被按了暂停键。
boss_office,经理办公室里只有文件翻页声，桌角那杯咖啡早就凉了。
boss_office,厚重窗帘把光线切成几条细缝，经理办公室静得只剩钟摆声。
boss_office,墙上的考勤表贴满红圈，经理办公室像一间会吞人的档案室。
