pool,text
evidence_action,试图用劣质喷漆掩盖罐头上那排极其醒目的丧尸牙印
evidence_action,正把刚发黑的变异狗肉强行塞进写着“特级牛肉”的包装盒
evidence_action,用透明胶带把已经裂开漏气的防化服重新粘好当做全新出售
evidence_action,正拿马克笔把保质期上的“2022年”硬生生改成“2028年”
evidence_action,试图给一堆已经长出绿色霉菌的救生饼干重新抛光打蜡
evidence_action,把昨天刚死掉的同事的工服扒下来挂在崭新的商品货架上
evidence_action,正在把被丧尸体液污染过的饮用水灌进高档矿泉水瓶
evidence_action,用订书机强行缝合那些已经被撕裂的所谓“全新”安全帐篷
evidence_action,试图把发光的不知名粉末掺进新一批的抗辐射胶囊里
evidence_action,拿着砂纸拼命打磨那些用工业废料伪造的高端医疗器械
evidence_object,那批号称绝对安全但一打开就开始释放毒气的防毒面具
evidence_object,那箱外包装极其精美但里面全在疯狂蠕动的“特供”营养膏
evidence_object,那台贴着原装正品标签但核心主板是用废铁焊的发电机
evidence_object,那堆已经能听到微弱求救声的所谓“全新”心肺复苏仪
evidence_object,那些标签上写着纯天然但其实是用下水道淤泥做的麦片
evidence_object,那箱只要遇到紫外线就会立刻融化的劣质夜视仪
evidence_object,那个承重测试没过甚至被风一吹就会塌的便携式避难所
evidence_object,那批用废弃报纸和工业胶水强行压缩制成的特级防火服
evidence_object,那罐明明写着提神醒脑但喝了就会口吐白沫的能量饮料
evidence_object,那些用来以次充好、表面甚至已经开始长牙的廉价急救绷带
evidence_gone_wrong,突然炸开掉出了原本只属于上一任仓库管理员的带血工牌
evidence_gone_wrong,表面的劣质涂层脱落露出了底下血淋淋的“禁止使用”警告
evidence_gone_wrong,包装袋突然被从里面撕开并伸出了一只腐烂的小手
evidence_gone_wrong,一接触空气就迅速氧化变成了一堆极具放射性的废弃粉末
evidence_gone_wrong,漏出的不明液体把刚贴上去的伪造合格证给物理腐蚀干净了
evidence_gone_wrong,突然发出了只有廉价仿制品才会有的那种令人牙酸的警报声
evidence_gone_wrong,标签被风一吹直接掉落露出了原厂印着的“工业废料”字样
evidence_gone_wrong,滴下的防腐剂直接把旁边的实木桌子烧穿了一个大洞
evidence_gone_wrong,缝合处突然爆裂喷出了一大堆用来凑重量的生锈铁钉
evidence_gone_wrong,伪装层融化后赫然露出了原本属于敌对掠夺者阵营的专属Logo
