npc_id,task_id,memory_text,scout_text
laowang,any,老王一边干活一边盯着时钟发呆，我判断他主要目标还是准点下班。,老王动作不快但没停手，眼神总往墙上的时钟飘。
laowang,any,老王把流程做得四平八稳却明显保守，我记下他倾向于少担责。,老王按部就班地推进工作，遇到边界问题就先观望。
laowang,any,老王在需要拍板时习惯把决定往后拖，我怀疑他在规避风险。,老王对关键步骤反复确认，像是在等别人先表态。
laowang,any,老王对突发状况反应慢半拍，但会默默补动作，我判断其威胁性偏低。,老王愣了一下才跟上节奏，后续把遗漏步骤补上了。
laowang,any,老王遇到争执时立刻降声量，我记下他优先回避冲突。,老王听到争论后主动让步，继续埋头做手头事务。
xiaoli,any,小李主动靠近信息节点并频繁插话，我判断他在刻意经营存在感。,小李总在别人说话时补一句，像在给自己加戏。
xiaoli,any,小李会迅速复述上级口径并扩散，我记下其投机与站队倾向。,小李把经理说过的话重复了两遍，还加了自己的理解。
xiaoli,any,小李对他人失误异常敏感并立即记录，我判断其有明显竞争攻击性。,小李听到别人出错后立刻记在本子上，神情很兴奋。
xiaoli,any,小李在流程边缘动作很多，我怀疑他在为后续甩锅预留话术。,小李做事很快，但总会补一句"我只是按要求执行"。
xiaoli,any,小李对结果导向强于团队协作，我记下其高野心与高波动。,小李优先抢可见成果，对协同步骤兴趣不高。
ahua,any,阿花表面温和地照顾气氛，却会精准记住冲突细节，我判断她在储备筹码。,阿花一直在笑着打圆场，但谁说过什么她都记得很清楚。
ahua,any,阿花在关键时刻发言不多却总能影响节奏，我记下其隐性引导能力。,阿花话不多，只在节点轻声说一句，场面就会转向。
ahua,any,阿花遇到压力先示弱后转移焦点，我判断她具备较强自保策略。,阿花先道歉再解释，最后把话题带到更安全的方向。
ahua,any,阿花习惯先观察再表态，我记下其低暴露高适应特征。,阿花多数时候在听，等别人说完才给出结论。
ahua,any,阿花对不同对象使用不同语气，我判断她的人际策略非常精细。,阿花和每个人说话的方式都不一样，像提前排练过。
dazhuang,any,大壮执行力强但流程意识薄弱，我判断其更适合明确指令型任务。,大壮接到任务就开干，细节常靠他人补位提醒。
dazhuang,any,大壮在体力环节优势明显却不爱复盘，我记下其稳定但粗放。,大壮干活很猛，做完就收工，很少回头检查。
dazhuang,any,大壮对复杂讨论耐心不足，我判断其易被强势话术牵引。,大壮听长讨论会走神，最后常跟随声音最大的人。
dazhuang,any,大壮重视公平分工且情绪来得快，我记下其冲突触发阈值偏低。,大壮发现分工不均时会立刻皱眉，语气明显变硬。
dazhuang,any,大壮对直接反馈反应好于委婉提示，我判断其沟通偏好清晰。,你发现对大壮直说要求更有效，拐弯提示几乎没反应。
zhoujie,any,周姐对流程漏洞极其敏感并即时纠偏，我判断其控制欲与责任感并存。,周姐很快指出两处流程瑕疵，并要求当场修正。
zhoujie,any,周姐说话锋利但执行稳定，我记下其高压风格下的高兑现度。,周姐语气不客气，但交付节点一个没落下。
zhoujie,any,周姐对历史问题记忆很强，我判断其决策受过往冲突影响明显。,周姐提到三天前的旧问题，并据此调整当前安排。
zhoujie,any,周姐不喜欢无依据的乐观判断，我记下其偏证据化管理倾向。,周姐要求先看数据再定方案，对口头承诺兴趣不大。
zhoujie,any,周姐在压力下会短暂升高攻击性后回归秩序，我判断其可控但有尖峰。,周姐先强硬压住场面，随后把任务重新分配得很清楚。
