npc_id,attitude,text
laowang,afraid,老王愣了愣：「你说啥？……啊？那是我干的？我不记得了啊……」他开始冒汗。
laowang,angry,老王难得清醒了：「你……你竟然录了我？！」他手里的保温杯捏得咯吱响。
laowang,ignore,老王打了个哈欠：「哦。然后呢？你想让我怎样？别耽误我睡觉。」
xiaoli,afraid,小李的鼠须疯狂抖动：「这……这东西你从哪弄到的？你别乱来啊！」
xiaoli,angry,小李尖声叫道：「你敢威胁我？！信不信我直接向经理举报你！」
xiaoli,ignore,小李眯起眼睛冷笑：「就这？你以为经理不知道？他比我更脏。」
ahua,afraid,阿花的笑容终于裂开了：「你……你怎么会有这个……人家求你了好不好……」
ahua,angry,阿花的眼泪瞬间消失：「你想怎样。直说吧。」她的声音冷得不像她。
ahua,ignore,阿花歪了歪头：「哎呀，大家都是可怜人，人家早就不在乎了呢~」
dazhuang,afraid,大壮慌了：「别……别让经理知道！我把我的蛋白粉全给你！」
dazhuang,angry,大壮的拳头攥紧了：「你……你是不是想打架？信不信我把你锤扁！」
dazhuang,ignore,大壮挠了挠头：「那是啥？能吃吗？」他完全没理解你在威胁他。
zhoujie,afraid,周姐的机械眼闪了闪：「你……你最好想清楚你在做什么。」
zhoujie,angry,周姐一拳锤碎了桌角：「你敢威胁我？你知道我记仇本有多厚吗？！」
zhoujie,ignore,周姐冷冷地看着你：「小把戏。我手里的东西比你这个猛十倍。」
boss,afraid,经理的触手全部僵住了。他看向你的眼神第一次有了恐惧：「你……你从哪拿到这个的。」
boss,angry,经理所有触手同时拍桌：「你在威胁我？！信不信我立刻把你扔进粉碎机！」
boss,ignore,经理面不改色：「既然你发现了，那这事烂在肚子里。总部比我贪得更多。」
default,afraid,对方脸色明显变了：「你……你从哪弄来的这个？先把它关掉，我们好说。」
default,angry,对方猛地提高音量：「你敢拿这个威胁我？你想清楚后果了吗！」
default,ignore,对方冷冷扫了你一眼：「就这点东西？你最好别浪费彼此时间。」
