key,title,body,priority
first_task_selection,"起床搬砖啦，调查员！","早上好呀，新鲜的卧底！我是总部派来监控……咳，协助你的AI助理！|这是你今天的送命……啊不，工作清单。每天必须选5项任务，其中至少包含1个带🔍的危险区域（那可是你摸走犯罪证据的好地方）。|记住，5天内搞到5份关键证据就能炸厂转正！干不完？那就准备变成食堂的午餐肉吧～",modal
first_dual_event,"哟，撞见活的同事了！","注意注意！你和这帮奇葩同事被分到一块儿干活了！|接下来我会描述你们遇到的「突发状况」，然后就轮到你出牌应对了。|打出「情绪牌 + 动作牌」的绝妙 Combo！不同的组合会直接决定你们是相亲相爱还是当场互撕。|谨慎点出牌哦，我会一直监控你的表现，而对面那个家伙也会把你的所作所为死死刻在脑子里！",modal
first_evidence_card,"叮咚！罪证入库！","干得漂亮，调查员！|这是你的第一份证据，已经稳稳存入右下角的档案库啦。|集齐5种类型的证据，我们就能召唤神龙……啊不，引爆炸弹推翻这里！|不过温馨提示：一旦你今晚被投票处决，总部的回收程序会随机销毁你3张证据。|所以，无论用什么卑劣的手段，千万别当最高票的那个倒霉蛋哦～",modal
first_voting,"激动人心的处决时刻！","下班前的保留节目——“谁是今天的倒霉蛋”匿名投票环节开始啦！|你和那群奇葩同事都要投出一票，得票最高的人会立刻被物理优化（字面意思上的粉碎）。|你想送谁上路？又会被谁暗算？你们的每一票都会被彼此狠狠记在小本本上！|尽情施展你的塑料同事情谊吧！",modal
first_night,"惊险刺激的夜班时间！","白天的戏演完了，晚上的狂欢才刚开始！|今晚你可以选择：烧掉珍贵的电池去侦察某个房间，或者老老实实睡觉恢复精力。|别以为你不动他们就不动——那帮怪物同事今晚会疯狂自动结盟、传谣、互相背刺！|明天的办公室绝对会变成一个充满惊喜的修罗场～",modal
first_blackmail_spread,"","哇哦，你掌握了一个同事的致命黑料！现在，你可以选择把它像病毒一样「传播」出去！|收到黑料的同事会根据自己扭曲的性格进行二次加工，然后继续满公司大嘴巴。|一句普通的闲话，最后可能会演变成惊天丑闻。|去吧，释放这只混沌的蝴蝶，搅乱他们的关系网！",modal
first_extortion,"哇哦！你被敲诈了！","惊不惊喜？意不意外？对面那个家伙居然抓住了你的把柄，正在疯狂敲诈你！|这可不是死板的剧本，而是他那颗算计的小脑瓜深思熟虑后做出的贪婪决定。|他想要多少钱？敢不敢动手？全看他的贪心程度！|同意还是拒绝？请想清楚后果，毕竟在这破地方没人会报警救你～",modal
first_plea,"","快看快看！同事的精神防线崩溃了！他正在向你求情，求你别把他的丑事抖出去。|他愿意掏空钱包，或者出卖其他人的黑料来换取你的沉默。|这同样是他基于极度恐慌做出的本能反应哦！|你是要大捞一笔，还是冷酷无情地拒绝？掌握生杀大权的感觉棒极了吧！",modal
helper_pua_warning_player,"警报！你被老总盯上了！","完蛋啦！八爪鱼经理好像闻到了你身上“不够顺从”的味道，点名让你去一趟办公室“喝茶”。|千万别露出调查员的马脚！一旦他对你的怀疑值爆表，可是会当场把你填进碎肉机的！|带好你的脑子，祝你能活着走出来！",modal
helper_pua_warning_npc,"","哎呀呀，{target_name} 被经理单独拎去办公室训话了！|要是这家伙没挺住老板的高压审查，明天的员工花名册上可能就没他的名字了哦。|你可以随时使用我的侦察功能，去看看他们到底在搞什么见不得人的勾当！",modal
helper_npc_pua_watch_tip,"免费吃瓜提醒！","有个倒霉同事被经理叫去“喝茶”了。|要是没把老板哄开心，指不定明天的肉罐头就是他。|想看好戏吗？马上用我侦察经理办公室，去围观现场的惨状吧！",modal
helper_scout_feedback_title,"","侦察反馈完毕，资料已同步！",modal
helper_scout_target_room,"目标区域锁定","当前锁定目标区域：{room_name}。正在传输画面……",modal
helper_scout_failed_fallback,"侦察遭到干扰！","糟糕，侦察失败！信号被未知磁场屏蔽了。",modal
first_solo_event,"刺激的独处时间～","当前区域只有你一个人在干活，这可是摸鱼和撞见诡异状况的好时机！|你需要打出1张反应牌，来表达你应对这种荒诞场面的态度。|不同的反应会让你在冥冥之中获得不同的标签，甚至影响你翻找出的奖励。|没有标准答案，选那个最符合你当前精神状态的姿势去应对吧！",modal
first_duo_event,"合作愉快？想得美！","注意注意！你和同事被分到一块儿干活了！|你必须打出「情绪 + 行动」的绝妙Combo！不同的组合会触发完全不同的剧情走向。|是用“暴躁 + 动手”把事情搞大，还是“冷静 + 配合”苟且偷生？|谨慎出牌哦，你现在的每一个微表情，都会被在场的同事全部记在记仇本上！",modal
first_event_record,"咔嚓！取证时刻！","精彩的剧情结束了！现在，你有权利把刚才发生的事情记录下来：|记录为证据——如果你发现了直接指向公司黑幕的线索，赶紧记下来！集齐5份就能引爆炸弹！|记录为黑料——如果你抓到了同事的小辫子，记成黑料！以后拿去传播或者要挟，简直是制造混乱的极品道具！|善用你的小本本，别让他们好过！",modal
