pool,text,reward_type,reward_value_min,reward_value_max,weight
action,试图用生锈的订书机缝合脱落的左臂,,,,
action,给已经变成丧尸的客户狂打催款电话,,,,
action,用涂改液把财报上的所有负号全涂白,,,,
action,对着屏幕上的乱码拼命做季度汇报PPT,,,,
action,试图教一盆食人发财树学会打印文件,,,,
action,把碎纸机里的纸片重新拼凑成辞职信,,,,
action,在工位周围洒满防狼喷雾和生锈图钉,,,,
action,对着一具风干的尸体一本正经地汇报进度,,,,
action,用丧尸血给快没墨的钢笔重新灌满水,,,,
action,试图用键盘线给正在抽搐的变异老鼠做绝育,,,,
object,那台沾满血迹且按键失灵的打卡机,,,,
object,那个装着不明器官的员工关怀盲盒,,,,
object,那把长出剧毒菌菇的人体工学椅,,,,
object,上个季度传下来的祖传乱码Excel,,,,
object,那份印着最高机密的物理裁员名单,,,,
object,那台一直发出凄厉惨叫的老旧碎纸机,,,,
object,那个装满离职员工脑浆的联名保温杯,,,,
object,那台自己会给全公司发毒邮件的电脑,,,,
object,那台已经被变异犬咬掉一半的饮水机,,,,
object,经理为了监视大家特批的赛博摄像头,,,,
gone_wrong,突然开始喷洒带有浓烈尸臭味的绿色黏液,,,,
gone_wrong,上面的数字自动变成了极其诡异的倒计时,,,,
gone_wrong,长出了三条触手并试图当场勒死实习生,,,,
gone_wrong,发出了类似经理发火时那种精神污染的咆哮声,,,,
gone_wrong,把周围三米内所有的氧气和活人薪水都抽干了,,,,
gone_wrong,突然爆炸并炸出了一大堆过期的公司优惠券,,,,
gone_wrong,开始不受控制地向外部发送高管的私密账单,,,,
gone_wrong,融化成了一滩具有极强腐蚀性和传染性的酸水,,,,
gone_wrong,物理意义上把前任员工的怨灵直接吐了出来,,,,
gone_wrong,长出了密密麻麻的眼睛并死死盯着你的工位,,,,
absurd_logic,这正是公司最新推行的去中心化办公生态,,,,
absurd_logic,狼性文化在极端环境下激发出的物理防御机制,,,,
absurd_logic,经理为了降本增效而搞出的赛博微创新,,,,
absurd_logic,拥抱末日变化，彻底打破传统的办公边界,,,,
absurd_logic,一种能大幅提升员工抗压能力的职场福报,,,,
absurd_logic,过滤掉不合格打工人的内部自然淘汰程序,,,,
absurd_logic,展现了团队在丧尸围城下的极致自驱力,,,,
absurd_logic,经理昨晚在梦里亲自下达的最高战略指示,,,,
absurd_logic,有效降低了公司对活人员工的路径依赖,,,,
absurd_logic,提前为下个季度的阴间市场开拓做战略预热,,,,
escalation,把这东西打包直接塞进经理的独立卫浴里,,,,
escalation,将这个模式作为企业文化向全行业强行推广,,,,
escalation,抓两个活体实习生来做破坏性的阻力测试,,,,
escalation,写进简历里当作自己晋升主管的核心抓手,,,,
escalation,把它扔进中央空调的通风管道让全公司共享,,,,
escalation,申请专项资金把它量产后卖给竞争对手,,,,
escalation,把它当成今年的销冠直接供奉在荣誉墙上,,,,
escalation,强制要求每个部门都认领一个回去当宠物养,,,,
escalation,以此为由申请彻底取消全体员工的午休时间,,,,
escalation,把它注册成公司的全新独立法人用来避税,,,,
conflict_topic,谁偷吃了冰箱里的最后一盒抗毒血清,,,,
conflict_topic,一台被砸坏的碎纸机该怎么报销,,,,
conflict_topic,空调该调到几度,,,,
conflict_topic,谁来负责清理工位上那摊不明体液,,,,
conflict_topic,那份加密文件到底归谁保管,,,,
stance_a,这属于固定资产人为损坏不能走消耗的账,,,,
stance_a,先到先得是末日基本生存法则,,,,
stance_a,经理亲口说了这归我管,,,,
stance_a,我的工龄比你长你没有发言权,,,,
stance_b,它已经碎了所以就是消耗品,,,,
stance_b,公共物资应该按贡献值来分配,,,,
stance_b,经理说什么都是放屁他自己都快被投出去了,,,,
stance_b,工龄长不代表脑子好使,,,,
verbal_level,互相搬出公司规章制度阴阳怪气,,,,
verbal_level,指着对方鼻子说对方拖累了整个部门,,,,
verbal_level,翻出去年的旧账互相揭短,,,,
physical_level,一个人锤了墙壁震落了天花板,,,,
physical_level,两人同时站起来把桌上的东西扫了一地,,,,
physical_level,有人抄起键盘另一个人举起了灭火器,,,,
solo_act1,你独自坐在工位前 屏幕忽明忽暗 像有人在远程窥视你的操作,,,,3
solo_act1,办公区安静得只剩风声 你在键盘缝里摸到一张来历不明的小纸条,,,,2
solo_act2_steady,你把线索按时间顺序记下 先按兵不动继续观察,,,,3
solo_act2_steady,你恢复桌面摆放 选择不惊动任何人地继续干活,,,,2
solo_act2_comply,你按流程提交了异常记录 表述克制且毫无破绽,,,,3
solo_act2_comply,你把这件事归档进标准工单 打算用制度掩护自己,,,,2
solo_act2_rebel,你先把可疑材料收好 准备找机会做二次核对,,,,3
solo_act2_rebel,你追着痕迹多看了两眼 才慢慢退回工位,,,,2
solo_act2_contrast,你嘴上说只是巧合 手却已经把关键细节圈了出来,,,,2
solo_act2_contrast,你一边装作赶进度 一边悄悄记住每个异常节点,,,,2
solo_act2_crazy,你对着空工位小声试探 结果反而把异常节奏摸清了,,,,2
solo_act2_crazy,你用离谱的方法给自己壮胆 意外发现了真正的可疑点,,,,2
solo_reward,你在桌腿内侧摸到一包旧硬币 清点后正好是{gold}金币,gold,10,20,6
solo_reward,你在废文件夹夹层里翻到一张空白记录卡,blank_card,,,2
solo_reward,你在{npc_name}的工位抽屉旁发现一份可疑往来单据 先记成黑料,blackmail,,,1
solo_reward,你在碎纸篓里翻到经理的私人账单复印件 金额明显不对劲,boss_secret,,,1
