pool,text,reward_type,reward_value_min,reward_value_max,weight
action,试图把一条还在抽搐的变异触手打成代餐冰沙,,,,
action,用丧尸血给那台早就报废的咖啡机做深度除垢,,,,
action,把微波炉的加热功率调到了足以引发核聚变的档位,,,,
action,正往那个长满绿毛的甜甜圈上疯狂喷洒除菌消毒液,,,,
action,试图把同事放在冰箱里正在进化的午餐据为己有,,,,
action,用一张写满高管黑料的A4纸当滤纸来手冲咖啡,,,,
action,正用防身电击棍在水槽里电击一条长着人脸的鱼,,,,
action,试图把发霉的过期罐头重新封装卖给新来的实习生,,,,
action,正对着一台完全不出水的饮水机进行长达五分钟的PUA,,,,
action,在冰箱贴上写了一张极具攻击性的赛博诅咒小纸条,,,,
object,那台运转时会发出类似女鬼惨叫的破烂微波炉,,,,
object,那个塞满了变异器官和离职员工午餐的公共冰箱,,,,
object,那杯飘着一层诡异油花的所谓“狼性特调咖啡”,,,,
object,那个只收人类牙齿作为货币的自动零食售卖机,,,,
object,那块已经长出四条腿并在桌上散步的三明治,,,,
object,那台据说喝了会折寿但能提神三天的重金属饮水机,,,,
object,那个刻着前任主管名字且还在渗血的马克杯,,,,
object,那罐保质期印着下个世纪且疯狂膨胀的午餐肉,,,,
object,那个用来清洗带有强腐蚀性毒液餐具的洗手池,,,,
object,那袋一打开就会释放精神污染气体的劣质茶包,,,,
gone_wrong,突然炸开并糊了周围人一身极具腐蚀性的绿色粘液,,,,
gone_wrong,长出了密密麻麻的复眼并开始审视每个人的KPI,,,,
gone_wrong,散发出一股能让碳基生物瞬间丧失求生欲的恶臭,,,,
gone_wrong,物理意义上活了过来并试图顺着下水道逃离公司,,,,
gone_wrong,开始疯狂复读经理早上开会时那些没营养的废话,,,,
gone_wrong,把方圆两米内所有的水分和员工的年终奖都吸干了,,,,
gone_wrong,突然发出刺眼的红光并引发了小规模的局部空间扭曲,,,,
gone_wrong,里面钻出了一个长得跟大老板一模一样的微型寄生虫,,,,
