pool,text
evidence_action,试图把已经被咬断一条腿的实习生重新绑在工位上
evidence_action,正把员工救命的抗毒血清稀释成十份用来浇花
evidence_action,强迫高烧不退的感染者连续加班三天三夜
evidence_action,把变异员工的工资卡全部没收并塞进自己的口袋
evidence_action,正把发霉变质的过期狗粮包装成今年的员工福利
evidence_action,试图用一纸罚单扣光那个已经被吃掉的同事的抚恤金
evidence_action,正在修改排班表让底层员工去顶替高管的夜间巡逻
evidence_action,把那些没有防护服的临时工强行锁在辐射区干活
evidence_action,用极其恶毒的话术逼迫员工自愿放弃本月的求生口粮
evidence_action,试图把刚尸变的员工伪装成不需要发工资的永动机
evidence_object,那份规定感染丧尸病毒必须算作事假扣工资的新规文件
evidence_object,那个装满了从底层员工身上强行抽取的救命鲜血的冷藏箱
evidence_object,那叠要求员工在被咬死前必须交接完工作的霸王条款
evidence_object,那些原本用来发给一线工人但被高管扣留的防弹头盔
evidence_object,那张写着要把所有孕妇调去前线清理丧尸的内部邮件
evidence_object,那瓶其实是用下水道脏水勾兑的所谓员工特供营养液
evidence_object,那个用来监控员工心率一旦变慢就会放电的项圈
evidence_object,那份明确指示出卖外包员工来换取逃生物资的秘密备忘录
evidence_object,那张盖着公章把所有安全事故定义为员工操作不当的通告
evidence_object,那个里面塞满了员工遗书却被当成废纸垫桌角的收纳盒
evidence_gone_wrong,突然散落了一地用来压榨底层员工剩余价值的黑心排班表
evidence_gone_wrong,文件袋裂开掉出了好几张强制员工捐献器官的自愿承诺书
evidence_gone_wrong,不小心弹出了高管们在群里嘲笑员工被咬死是活该的聊天记录
evidence_gone_wrong,里面的东西突然发出了只有被极度压榨的亡魂才会有的哀嚎声
evidence_gone_wrong,突然漏出了那些被克扣下来准备卖给黑市的高纯度抗毒血清
evidence_gone_wrong,封皮破裂赫然露出了拿员工做人体实验赚取外快的账目
evidence_gone_wrong,喇叭里突然传出经理大喊“只要没死就给我爬起来”的录音
evidence_gone_wrong,突然爆开并喷出了一大堆用来强制员工保持清醒的违禁药物
evidence_gone_wrong,屏幕一闪显示出了把所有感染风险全部转嫁给底层的系统代码
evidence_gone_wrong,抽屉掉底露出了满满一箱克扣死人抚恤金换来的高档雪茄
