id,name,tone,is_normal,style
E01,真诚的,语气诚恳、逻辑清晰的正常打工人,true,normal
E02,暴躁的,语气强硬、直接怼人的暴躁老哥,true,rebel
E03,委屈的,语气可怜、弱势、快哭了,true,normal
E04,谄媚的,语气讨好、圆滑的职场老油条,true,corporate
E05,资本家附体的,"满嘴赋能、抓手、底层逻辑，把黑心说成福报",false,corporate
E06,清澈且愚蠢的,像个刚毕业的清澈大学生，天真到让人想打他,false,normal
E07,绿茶转世的,哥哥/姐姐不会生气吧，极其做作、暗搓搓上眼药,false,corporate
E08,随时同归于尽的,像个拉开手榴弹引线的恐怖分子，极度暴躁且危险,false,rebel
E09,死猪不怕开水烫的,"摆烂到极致，随便吧，大不了把我做成罐头",false,chaotic
E10,汗流浃背的,极度心虚，说话结巴，仿佛下一秒就要尿裤子,false,normal
E11,阴暗爬行的,语气扭曲、变态，像个真正的丧尸在发癫,false,chaotic
E12,爹味十足的,听懂掌声，高高在上地教对方做人、说教,false,rebel
E13,霸道总裁般的,"女人/男人，你引起了我的注意，极度油腻且自信",false,corporate
E14,痛心疾首的,仿佛看着堕落的亲儿子，大呼公司怎么会变成这样！,false,rebel
E15,阴阳怪气的,顶级老阴阳人，表面夸赞实则句句带刺,false,rebel
E16,精神小伙的,赛博土味，夹杂着社会语录，随时准备摇花手,false,chaotic
E17,传销导师的,"极富煽动性，家人们谁懂啊，跟我干绝对能去总部！",false,corporate
E18,极度中二的,仿佛右手封印着黑暗力量，满嘴日漫台词,false,chaotic
E19,丧失求生欲的,毫无生气，毁灭吧，赶紧的，累了,false,chaotic
E20,慈母般的,散发着诡异的母性光辉，乖，把毒罐头吃了,false,chaotic
E21,严父般的,散发着诡异的父性光辉，乖，把毒罐头吃了,false,chaotic
