tone,template,template_active,template_passive,affinity_delta,suspicion_delta
friendly,{a}在{task}时帮{b}伪造了一份完美的合规数据，两人确认了彼此都是一丘之貉。,我在{task}时帮{other}伪造了一份完美的合规数据，我们确认了彼此都是一丘之貉。,{other}在{task}时帮我伪造了一份完美的合规数据，我们确认了彼此都是一丘之貉。,5,-2
friendly,{a}和{b}在{task}中迅速达成了摸鱼共识，并对好了应付经理的虚假口供。,我和{other}在{task}中迅速达成了摸鱼共识，并对好了虚假口供。,{other}和我一起在{task}中摸鱼，我们非常默契地对好了虚假口供。,4,-2
friendly,{a}眼疾手快地拉了{b}一把，避免了{b}在{task}时被突然掉落的通风管道砸扁。,我在{task}时眼疾手快地拉了{other}一把，免得他被天花板砸成肉泥。,{other}在{task}时拉了我一把，免得我被掉下来的通风管道砸死，算欠他个人情。,5,-1
friendly,{a}在{task}时主动分给{b}半块没过期的压缩饼干，{b}感动得几乎要立下血誓。,我在{task}时分了半块饼干给{other}，他看起来感动得愿意为我挡刀。,{other}在{task}时分了我半块极其珍贵的饼干，这人能处！,6,-3
friendly,{a}和{b}借着{task}的掩护，愉快地交换了对经理那八条触手的阴毒吐槽。,我和{other}借着{task}的掩护，愉快地交换了对经理的阴毒吐槽。,{other}借着{task}的掩护跟我一起吐槽了经理，听起来他跟我一样恨这家公司。,4,-2
friendly,{a}发现{b}在{task}中偷懒，不但没举报，反而心照不宣地加入了摆烂的行列。,我发现{other}在{task}中偷懒，于是我心照不宣地跟着他一起摆烂了。,{other}发现我在{task}中偷懒居然没举报我，还跟着我一起摆烂，挺上道。,3,-1
friendly,{a}和{b}在{task}时互相打掩护，成功把一个即将爆炸的黑锅甩给了其他部门。,我和{other}在{task}时互相打掩护，成功把黑锅甩了出去，合作愉快。,{other}在{task}里配合我把黑锅甩了出去，这队友不错。,5,-2
cold,{a}和{b}在{task}时保持着三米的安全距离，生怕对方突然掏出碎纸机杀人。,我和{other}在{task}时保持着绝对的安全距离，谁知道他会不会突然发疯。,{other}在{task}时离我远远的，正好，我也怕他暗算我。,0,1
cold,{a}和{b}全程背对着背进行{task}，安静得只能听到彼此心怀鬼胎的算计声。,我和{other}全程背对着背进行{task}，我一直在防备他。,{other}在{task}时全程背对着我，我也在暗中盯着他的动作。,0,2
cold,{a}和{b}像两个没有感情的齿轮一样完成了{task}，连一个标点符号都没交流。,我和{other}像机器一样做完了{task}，没有一句废话，安全第一。,{other}做{task}时一句话也没说，我也乐得清静。,0,0
tense,{a}在{task}时试图偷偷翻看{b}的记录表，被{b}恶狠狠地瞪了回去。,我在{task}时想偷偷瞟一眼{other}的记录表，结果被他凶狠地瞪了。,{other}在{task}时居然想偷看我的记录表，绝对没安好心！,-4,5
tense,{a}在{task}中故意把随时会漏电的设备推给{b}，{b}气得在心里给他预留了骨灰盒。,我在{task}中故意把漏电的危险活推给了{other}，他气得脸都绿了。,{other}在{task}里居然把致命的危险活推给我，我已经把他写进死亡名单了！,-5,4
tense,{a}在{task}时突然神经质地盘问{b}昨晚在哪，把气氛搞得像审讯室。,我在{task}时盘问了{other}昨晚的行踪，他的反应很可疑。,{other}在{task}时像个审讯官一样盘问我昨晚在哪，他算老几？,-3,5
tense,{a}把{task}搞砸了还理直气壮地指责{b}，{b}当场发誓今晚必须把他投死。,我把{task}的失误推给了{other}，他看起来想当场掐死我。,{other}自己搞砸了{task}居然敢甩锅给我，今晚投票我必弄死他！,-5,3
tense,{a}和{b}因为谁该去向经理汇报{task}的结果而爆发了激烈的争吵，谁都不想去送死。,我和{other}为了谁去向经理汇报{task}吵了一架，我才不去送死。,{other}居然想逼我去向经理汇报{task}结果，门都没有！,-4,2
mocking,{a}拿{b}在{task}里的笨拙表现疯狂嘲讽，{b}暗自把{a}写进了今晚的暗杀名单。,我嘲讽了{other}在{task}里的笨拙表现，他看起来快气炸了。,{other}居然敢嘲笑我在{task}里的表现，他死定了。,-5,3
mocking,{a}讥讽{b}是个只会讨好老板的马屁精，{b}冷笑着捏碎了手里的圆珠笔。,我在{task}时讥讽{other}是个马屁精，他气得捏碎了笔。,{other}居然敢在{task}时骂我是马屁精，这笔账我记下了。,-4,4
suspicious,{a}发现{b}的动作非常像传闻中的调查员，立刻在心里拉响了最高警报。,我发现{other}在{task}时的动作极度像个卧底调查员，必须盯紧他。,{other}在{task}时一直用一种极度可疑的眼神盯着我，他想干嘛？,-2,6
suspicious,{a}在{task}时假装随意地打听公司的账单，{b}立刻警觉地闭上了嘴。,我在{task}时试探性地打听账单，{other}立刻像防贼一样防着我。,{other}居然在{task}时打听公司的死穴账单，他绝对有问题！,-3,5
suspicious,{a}盯着{b}的脖子看了一会儿，仿佛在评估其肉质，把{b}看得毛骨悚然。,我在{task}时盯着{other}的脖子看了一会儿，他在发抖。,{other}在{task}时一直盯着我的脖子看，那眼神就像在看一块肉，太惊悚了！,-2,4
hostile,{a}在{task}时暗示自己手里有{b}的黑料，双方的气氛瞬间变得剑拔弩张。,我在{task}时暗示手里有{other}的黑料，他吓得不轻但眼神很凶。,{other}在{task}时居然敢威胁说有我的黑料，我必须先下手为强！,-5,5
hostile,{a}故意把一份带有放射性警告的材料丢到{b}工位上，{b}一边躲闪一边破口大骂。,我在{task}时故意把危险材料丢给了{other}，看他那抱头鼠窜的样子真好笑。,{other}故意把要命的危险材料丢给我，这是赤裸裸的谋杀！,-6,4
hostile,{a}在{task}时冷不丁地问{b}怕不怕被处决，把一场普通的工作变成了恐怖片现场。,我在{task}时冷冷地问{other}怕不怕死，他吓得差点尿裤子。,{other}在{task}时突然问我怕不怕被处决，他是不是想暗算我？,-4,6
hostile,{a}在{task}结束时恶狠狠地警告{b}别挡道，{b}毫不示弱地竖了个中指。,我在{task}结束时警告{other}别挡我的路，他还敢冲我竖中指。,{other}在{task}做完后居然敢警告我，我直接还了他一个中指。,-5,2
hostile,{a}趁着{task}的混乱，试图从{b}口袋里顺走一张记录卡，被{b}当场抓获。,我趁着{task}乱套想摸走{other}的记录卡，可惜被他抓了个正着。,{other}这个小偷居然在{task}时想摸走我的记录卡，我要弄死他！,-6,6
suspicious,{a}发现{b}在{task}时偷偷收集带血的碎纸片，越看越像是在搜集罪证。,我发现{other}在{task}时偷偷收集碎纸片，他肯定在搜集罪证。,{other}在{task}时一直死死盯着我手里的废纸，他是不是怕我发现了什么？,-2,5
suspicious,{a}在{task}时注意到{b}对着领口小声说话，怀疑对方身上藏着窃听器。,我在{task}时看到{other}对着领口说话，他身上绝对带着窃听器！,{other}在{task}时死死盯着我的衣领，他那眼神像是在找下刀的地方。,-3,6
suspicious,{a}觉得{b}在{task}里的表现太专业了，完全不像个废物员工，绝对是受过特训的卧底。,我发现{other}做{task}太熟练了，根本不像废物，绝对是特训过的卧底。,{other}在{task}时一直用怀疑的眼神打量我，难道我表现得太优秀引起他警觉了？,-1,5
suspicious,{a}在{task}时撞见{b}对着反光的玻璃练习假笑，吓得倒吸一口凉气。,我在{task}时撞见{other}对着玻璃练习可怕的假笑，这人绝对是个变态卧底。,我在练习微笑时被{other}撞见了，他看我的眼神就像在看怪物。,-3,4
suspicious,{a}发现{b}借着{task}的掩护，正在偷偷记录所有人的打卡时间，行为极度反常。,我发现{other}借着{task}的掩护记录大家的打卡时间，必须防着他。,{other}一直探头探脑看我的记录本，他在心虚什么？,-2,5
suspicious,{a}在{task}时无意中碰到{b}的手，发现对方根本没有脉搏，警惕心瞬间拉满。,我在{task}时碰到{other}的手，居然没有脉搏！这到底是个什么怪物？,{other}在{task}时竟然趁机摸我的手腕试探我，真是个危险的变态。,-4,6
suspicious,{a}听到{b}在{task}时哼着不知名的诡异小曲，怀疑那是某种暗号。,我听到{other}在{task}时哼诡异的调子，那绝对是跟外界联络的暗号。,{other}在{task}时因为我哼歌就死死瞪着我，神经病吧。,-1,4
suspicious,{a}发现{b}在{task}时故意避开监控摄像头死角，走位专业得令人发指。,我发现{other}在{task}时的走位完美避开了所有监控，他绝对是个老手。,{other}在{task}时一直观察我的走位路线，他是不是想找监控死角干掉我？,-2,5
