pool,text,reward_type,reward_value_min,reward_value_max,weight
action,对着满屏乱码的投影仪大声复盘上周的灾难,,,,
action,试图把沾满血迹的季度报表硬塞进碎纸机,,,,
action,用激光笔疯狂扫射白板上那些令人不安的涂鸦,,,,
action,把变异老鼠的骨架摆在会议桌中央当做吉祥物,,,,
action,强迫所有人起立大声朗诵极度反人类的员工手册,,,,
action,试图用生锈的螺丝刀强行拆解会议室的电子门禁,,,,
action,把一堆过期长毛的罐头堆成金字塔用来演示销量,,,,
action,对着根本没有接线的会议电话疯狂推销所谓的新方案,,,,
action,用不知名的红色液体在白板上画极其复杂的流程图,,,,
action,强行给每一张报表都贴上一张诡异的黄色符纸,,,,
object,那个总是自动播放恐怖画面的投影仪,,,,
object,那份画满神秘阵法和眼球的会议纪要,,,,
object,那个麦克风里不时传出咀嚼声的会议终端,,,,
object,那张写满前任员工绝望遗言的白板,,,,
object,那支会时不时漏出高腐蚀性液体的白板笔,,,,
object,那个已经被丧尸牙齿咬穿的考勤机终端,,,,
object,那叠散发着浓烈防腐剂气味的月度绩效表,,,,
object,那台一直闪烁着诡异红光的空气净化器,,,,
object,那个被强行改造过且不停震动的激光笔,,,,
object,那张承载了无数打工人怨气的巨型红木会议桌,,,,
gone_wrong,突然开始把所有的利润数据转换成死亡名单,,,,
gone_wrong,喷射出大量不知名的灰烬并糊了全场人一脸,,,,
gone_wrong,物理意义上把上一任使用者的灵魂残影投影了出来,,,,
gone_wrong,上面的每一个字都像活着的虫子一样开始到处爬行,,,,
gone_wrong,发出了类似于丧尸进食时那种极度愉悦的呼噜声,,,,
gone_wrong,突然折叠成一个难以名状的几何体并悬浮在半空,,,,
gone_wrong,开始无差别地播放经理昨天在洗手间里的疯狂自言自语,,,,
gone_wrong,表面渗出了一层令人作呕的且带有强腐蚀性的粘液,,,,
gone_wrong,以一种违背物理常识的方式把自己扭成了麻花,,,,
gone_wrong,直接把投影幕布烧出了一个直通异次元的黑洞,,,,
absurd_logic,这绝对是打通阴阳两界市场下沉渠道的绝佳抓手,,,,
absurd_logic,恰好证明了我们在末日赛道上实现了颠覆性的弯道超车,,,,
absurd_logic,能够极其有效地筛掉那些缺乏奉献精神的劣质员工,,,,
absurd_logic,这就是打破传统部门壁垒所带来的深度跨界融合,,,,
absurd_logic,完美契合了经理在Q3财报上要求的暴力美学理念,,,,
absurd_logic,这是一种极其硬核且不可被复制的物理防沉迷机制,,,,
absurd_logic,能为我们接下来的裁员计划提供极其坚实的理论支撑,,,,
absurd_logic,彻底激活了团队在极度恐慌下的潜在主观能动性,,,,
absurd_logic,这正是打破碳基生物工作极限的伟大尝试,,,,
absurd_logic,顺应了今年公司主推的不可名状的混沌企业文化,,,,
escalation,提议把它包装成付费课程强行卖给还在实习的应届生,,,,
escalation,准备连夜写一份八百页的PPT去向经理邀功,,,,
escalation,建议把它直接融入到每天早上的集体广播体操里,,,,
escalation,要求把这个特性强行加进所有部门的季度KPI考核中,,,,
escalation,决定立刻把它送去隔壁废弃病房做活体AB测试,,,,
escalation,提议趁机提高全体员工的安全保证金缴纳比例,,,,
escalation,打算把这个离谱的东西当作今年的年会特等奖,,,,
escalation,宣布成立一个专项摸鱼小组专门对它进行深度孵化,,,,
escalation,强制要求在场的所有人都必须跟它签订赛博保密协议,,,,
escalation,提议直接用它替换掉目前毫无作为的HR部门,,,,
conflict_topic,季度预算凭空蒸发的责任归属,,,,
conflict_topic,紧急逃生通道被改成仓储间的决策责任,,,,
conflict_topic,上周防爆门测试炸穿天花板的复盘结论,,,,
conflict_topic,丧尸围栏维护费去向不明的解释口径,,,,
conflict_topic,高管专属抗毒血清库存消失的问责方案,,,,
conflict_topic,员工加班猝倒事件被写成自愿奉献的通报内容,,,,
conflict_topic,会议室监控黑屏八小时的合理化说明,,,,
conflict_topic,危险品采购单与财务流水完全对不上的漏洞,,,,
conflict_topic,演习时把实习生锁在隔离区的审批流程,,,,
conflict_topic,把事故报告改写成增长案例的署名权,,,,
stance_a,坚持把全部责任归类为不可抗力并建议全员签字背书,,,,
stance_a,主张立刻甩锅给外包团队并冻结他们全部尾款,,,,
stance_a,要求将事故定义为创新试错并申请额外激励预算,,,,
stance_a,坚持按经理口径统一发言谁质疑谁写检讨,,,,
stance_a,提议把监控缺失解释成系统自我进化的正常表现,,,,
stance_a,主张把受伤员工案例包装成企业韧性宣传素材,,,,
stance_a,坚持以保密协议为由拒绝公开任何原始记录,,,,
stance_a,要求先删除聊天记录再讨论流程是否合规,,,,
stance_a,提议把损失摊到各部门头上实现风险共担,,,,
stance_a,坚持先做庆功海报再补写事故时间线,,,,
stance_b,反驳说证据链完整显示问题就是你拍板通过的,,,,
stance_b,拍桌强调外包早就预警过是你亲手驳回邮件,,,,
stance_b,冷笑指出预算流向清清楚楚写着你的审批编号,,,,
stance_b,质问既然是创新试错为什么只有基层在流血,,,,
stance_b,要求当场调监控并把会议直播给全员围观,,,,
stance_b,指出你昨晚还在群里让大家统一删记录,,,,
stance_b,坚称不该再拿保密当盾牌必须立即上报调查组,,,,
stance_b,翻出上季度复盘指出你又在复制同一套灾难流程,,,,
stance_b,怒斥所谓风险共担本质就是把锅均匀分给最弱的人,,,,
stance_b,直接提议暂停你的一切审批权限直到核查结束,,,,
verbal_level,阴阳怪气地轮流朗读彼此的聊天截图,,,,
verbal_level,用扩音器贴脸复读对方最荒唐的一句话,,,,
verbal_level,隔着会议桌互相进行字正腔圆的人身攻击,,,,
verbal_level,把白板当法庭逐条宣判对方职业死刑,,,,
verbal_level,一边鼓掌一边高声嘲讽对方的逻辑像腐烂面包,,,,
verbal_level,轮番引用公司价值观把彼此钉在耻辱柱上,,,,
verbal_level,抢麦大吼并逼迫旁听同事现场站队,,,,
verbal_level,互揭旧账从实习期一路吵到昨天凌晨,,,,
verbal_level,在群视频外放中互相朗诵对方的离谱语音,,,,
verbal_level,以主持人语气宣读对方每一条失职记录,,,,
physical_level,同时掀起会议桌导致咖啡和报表漫天横飞,,,,
physical_level,争抢激光笔时把投影幕布硬生生扯了下来,,,,
physical_level,把白板当盾牌互撞并一路顶到门口,,,,
physical_level,为夺控制器在地上翻滚并踢飞了电源排插,,,,
physical_level,抡起文件夹互砸直到订书针雨点般四散,,,,
physical_level,争执中踩碎了紧急按钮保护罩并触发警报,,,,
physical_level,把转椅当战车在会议室里高速对冲,,,,
physical_level,扯断麦克风线后继续拿底座当锤子挥舞,,,,
physical_level,在抢夺事故原件时把整面软木板连根拽倒,,,,
physical_level,一脚踹翻展示架让奖杯在地上连环爆裂,,,,
solo_act1,会议室只剩你一人 投影幕忽然自己亮起 显示一页被删改过的会议纪要,,,,3
solo_act1,你刚坐下 白板角落就出现一行新字 又像被谁匆忙抹掉,,,,2
solo_act2_steady,你先把重点抄录下来 暂时不对外声张,,,,3
solo_act2_steady,你把白板恢复原状 决定先看后续是否有人来善后,,,,2
solo_act2_comply,你按标准纪要格式补齐记录 让整件事看起来像例行误差,,,,3
solo_act2_comply,你把异常写进会议复盘模板 用流程把风险包住,,,,2
solo_act2_rebel,你拍下关键画面并藏好 打算晚上再对照旧档,,,,3
solo_act2_rebel,你顺着会议流程反查签字链 试图找出谁改过文档,,,,2
solo_act2_contrast,你表面若无其事地收资料 心里却已经列好了嫌疑名单,,,,2
solo_act2_contrast,你边清理会场边复盘细节 越想越觉得不是巧合,,,,2
solo_act2_crazy,你对着空座位开了段假会 居然把关键时间点串起来了,,,,2
solo_act2_crazy,你用最荒诞的方式复现现场 反而验证了异常来源,,,,2
solo_reward,你在会议桌缝里摸到一枚密封零钱包 里面有{gold}金币,gold,10,20,6
