id,content,tags
work_001,降本增效,"room:office,task:邮件"
work_002,狼性文化,"room:office,task:库存"
work_003,末位淘汰,room:office
work_004,强制自愿,room:office
work_005,优化毕业,room:office
work_006,赋能闭环,room:office
work_007,甩锅背刺,"room:office,task:邮件"
work_008,绩效考核,"room:office,task:库存"
work_009,画饼,room:office
work_010,结构性降薪,room:office
work_011,抓手逻辑,room:office
work_012,转岗重塑,room:office
work_013,呼吸分摊,"room:office,task:邮件"
work_014,离职断供,"room:office,task:库存"
work_015,灵感众筹,room:office
work_016,压力对冲,room:office
work_017,情感解耦,room:office
work_018,沉淀复盘,room:office
work_019,向下兼容,"room:office,task:邮件"
work_020,颗粒度对齐,"room:office,task:库存"
work_021,全量覆盖,room:office
