pool,text
evidence_action,正把一箱公司救命用的抗毒血清偷偷装进私人背包里
evidence_action,试图抹掉监控里经理把物资卖给外面拾荒者的画面
evidence_action,对着步话机用暗语和外围的黑市器官贩子疯狂讨价还价
evidence_action,偷偷把三箱高管特供的新鲜蔬菜藏进自己的防爆柜
evidence_action,正在伪造五名员工自愿放弃本月救济口粮的同意书
evidence_action,试图把几张写着瑞士银行离岸账号的便签纸吞进肚子里
evidence_action,正把大门的防御密码明码标价卖给对面的敌对营地
evidence_action,用公款给自己点了一份带真肉的极品末日外卖
evidence_action,偷偷修改配给系统的代码把大家的水源全转给自己
evidence_action,正在清点从刚死去的实习生身上扒下来的高价值装备
evidence_object,那个装满纯净水和天价抗辐射药剂的私人逃生背包
evidence_object,那份记录了把变异员工卖给地下斗兽场的交易流水
evidence_object,那台专门用来绕过财务审计直接和黑市洗钱的卫星电话
evidence_object,那个原本该发给全体员工但现在写着经理名字的空投箱
evidence_object,那叠证明公司早就知道防护服防不住病毒的绝密报告
evidence_object,那箱装满了金条以及外面怪物最喜欢的高级诱饵
evidence_object,那张写明了只要经理安全撤退全员皆可当炮灰的协议
evidence_object,那个装有能直接锁死所有办公室自动门的最高权限U盘
evidence_object,那份盖着公章允许把病患员工当成新型化肥的特批文件
evidence_object,那张记录了各部门高管如何在黑市合资炒股的收益表
evidence_gone_wrong,突然掉出了一张写着如何把公司资产卷款跑路的路线图
evidence_gone_wrong,里面掉出了好几个印着敌对营地标志的沉甸甸的金砖
evidence_gone_wrong,不小心弹出了经理和丧尸头目达成互不侵犯的聊天记录
evidence_gone_wrong,喇叭里突然大声播报起如何把员工骨灰卖高价的商业计划
evidence_gone_wrong,包裹裂开掉出了几瓶明确规定只有董事会才能喝的解毒剂
evidence_gone_wrong,夹缝里露出了一长串把公司发电机偷卖给地下黑市的提货单
evidence_gone_wrong,突然散落了一地用来伪造因公殉职骗取巨额保险的空白证明
evidence_gone_wrong,屏幕一闪投射出了高管们在豪华避难所里花天酒地的监控
evidence_gone_wrong,密码箱突然弹开露出了大门备用钥匙和早就下达的撤退指令
evidence_gone_wrong,不小心按到了免提暴露出正在和外面的走私头子分赃的对话
