part,npc_id,text,affinity_delta,suspicion_delta
opening,,"经理翻开一份比砖头还厚的绩效评估表。\n""你的工作表现很完美。完美得就像一个受过专业训练的调查员，企图靠融入集体来掩饰真实目的。""\n他眯起八只眼睛，""你要怎么向我证明，你只是个单纯的打工人？""",,
opening,,"""最近公司里流传着一个笑话，说我们中间有个调查员。""\n经理靠在金币浴缸的边缘，用触手搅动着水面，""我不喜欢笑话。告诉我，你为什么看起来这么像那个笑话的主角？""",,
opening,,"""真正的卧底通常会极力证明自己不是卧底。""\n经理靠在真皮转椅上，八条触手在胸前交叉，""所以，如果你现在急着否认自己是调查员，那你就肯定是。请吧，开始你的狡辩。""",,
opening,,"经理把一个没写字的空白文件夹狠狠摔在桌子上。\n""这是你想找的黑幕吗？还是说你已经偷偷联络总部了？""\n他猛地捏碎了一个咖啡杯，""给我一个不当场把你‘物理优化’的理由。""",,
opening,,"经理在办公室里烦躁地踱步，触手在地板上留下黏液。\n""那个隐藏的卧底以为能骗过我，但我能闻到那种自以为是的正义味儿。""\n他突然停下，指着对方的鼻子，""而你今天身上的味道，刚好很正义。解释一下。""",,
opening,,"经理面前摆着六个监控屏幕，每一块都定格在对方的脸上。\n""你在过去的24小时里，有三次看向了我的保险柜方向。""\n他用触手敲了敲桌子，""这可是经典的调查员行为。给自己辩护一下吧。""",,
opening,,"经理假装亲切地拍了拍对方的肩膀，尽管触手上的吸盘吸得衣服咔咔作响。\n""咱们随便聊聊。假如你就是那个企图摧毁公司的卧底，你现在会用什么借口来掩饰你的慌张？""",,
opening,,"""我们正在更新公司的‘防间谍物理清除程序’。""\n经理用触手把玩着一把锋利的裁纸刀，""在把你填进碎肉机之前，我愿意给你三十秒的时间，证明你对这家公司的绝对忠诚。计时开始。""",,
opening,,"""你知道我最讨厌什么吗？背叛。以及那些企图毁掉我伟大商业帝国的虫子。""\n经理把一份《自愿放弃生命同意书》推到对方面前，""证明你不是他们中的一员，或者直接签了它。""",,
opening,,"经理紧紧护着身后的保险柜，八条触手神经质地缠绕在一起。\n""有人在打听公司的账目，那个人一定就藏在销售部。""\n他猛地凑近，紫色的大脸几乎贴了上去，""你的眼神里充满了对真相的渴望。说，你到底是谁派来的？""",,
reaction,laowang,"老王慢吞吞地把掉在桌上的半只耳朵捡起来安回去：\n""经理，如果我是调查员，我会花四个小时在机房里流口水吗？我那是在……降低体温以节约公司空调费。""",3,-5
reaction,laowang,"老王浑浊的眼睛里透出一丝委屈：\n""我连自己的员工编号都记不住，怎么可能记住公司的机密？我的脑子只剩百分之六十了，您是知道的。""",4,-4
reaction,laowang,"老王打了个哈欠，又硬生生憋回去：\n""推翻公司？经理，那听起来像是一项没有加班费的巨大工程。我绝不可能干这么累的活。""",3,-4
reaction,laowang,"老王缩了缩脖子，声音毫无波澜：\n""经理，我昨天连财务报表都算错到离谱，真正的卧底怎么可能像我这么没用？""",4,-5
reaction,laowang,"老王紧紧抱住他的咖啡杯：\n""我发誓我只想活到下班。我连‘调查局’这三个字怎么拼都不知道。""",5,-3
reaction,xiaoli,"小李猛地一个滑跪，西装裤都磨出了火星子：\n""经理！我频繁进您办公室只是为了帮您擦亮保险柜！我发誓我只为您一个人做间谍！""",6,-4
reaction,xiaoli,"小李的鼠须疯狂颤抖，立刻从口袋里掏出一个小本本：\n""调查员？！绝对不是我！我已经列出了今天看了您三眼以上的可疑名单，随时可以把他们举报！""",5,-5
reaction,xiaoli,"小李拍着胸脯，尾音都在发颤：\n""我对公司的忠诚度比我的胆固醇还高！请给我一个机会，让我去茶水间装窃听器证明自己！""",5,-4
reaction,xiaoli,"小李拼命摇头，几乎要哭出来：\n""我只是个渴望晋升的小职员！推翻公司对我有什么好处？我只渴望您手指缝里漏出来的绩效奖金啊！""",4,-5
reaction,xiaoli,"小李眼神一闪，直接甩锅：\n""经理明鉴！我身上这股味儿绝对是穷酸味，绝不是正义感！但我觉得那个总不说话的新人很可疑！""",6,-3
reaction,ahua,"阿花无辜地眨了眨眼，头顶的枫叶微微垂下：\n""经理您真会开玩笑……我的藤蔓伸向文件柜只是为了帮您清理灰尘，我连那上面写了什么都看不懂呀。""",4,-4
reaction,ahua,"阿花把碎发别到耳后，笑得极其甜美而惊恐：\n""我只是一棵脆弱的植物，最大的心愿就是让办公室的空气更清新。调查员那种可怕的工作，我怎么敢做？""",5,-4
reaction,ahua,"阿花双手捧在胸前，声音轻得像微风：\n""如果我是卧底，我会花那么多时间听大家抱怨感情问题吗？我只对八卦感兴趣，对公司的账本真的一无所知。""",4,-5
reaction,ahua,"阿花眼眶泛红，藤蔓委屈地扭动着：\n""您这么说真的太让我伤心了。我每天努力让大家和睦相处……虽然我确实不小心听到了一些别人的秘密，但那都是为了公司好呀。""",5,-3
reaction,ahua,"阿花轻咬嘴唇，楚楚可怜地看着对方：\n""我对您绝对是百分之百的透明。不过……如果您真的要找异常，我倒是可以把同事们私底下的抱怨告诉您。""",6,-4
reaction,dazhuang,"大壮挠了挠缝合线开裂的头皮，一脸委屈：\n""经理，我掰弯保险柜的门，真的只是以为里面藏了肉罐头。我不认字啊，偷机密文件当厕纸吗？""",3,-5
reaction,dazhuang,"大壮紧张地把手里的钢制水杯捏成了铁饼：\n""炸掉公司？那谁给我发工资买蛋白粉？我大壮生是公司的打手，死是公司的死打手！""",4,-4
reaction,dazhuang,"大壮拍了拍自己巨大的肚子，发出打鼓一样的闷响：\n""卧底吃得都很差的！您看我这体格，要是不把这儿当食堂……哦不，当家，能吃这么壮吗？""",4,-3
reaction,dazhuang,"大壮瞪大眼睛，满脸茫然：\n""‘调查员’是什么口味的罐头？经理，只要管饭，你让我撕碎谁我就撕碎谁，千万别扣我伙食费。""",5,-4
reaction,dazhuang,"大壮小心翼翼地从兜里掏出一块沾着机油的半边饼干递过去：\n""经理你肯定是饿得出现幻觉了。吃点东西吧，吃饱了就不会怀疑我了。""",3,-5
reaction,zhoujie,"周姐冷笑一声，机械臂重重拍在桌上：\n""老娘在这栋破大楼里捞油水……哦不，奉献青春的时候，你还在海里吐泡泡呢。断我自己的财路？我没那么蠢。""",3,-4
reaction,zhoujie,"周姐的电子眼翻了一个极其生硬的白眼，发出齿轮摩擦的噪音：\n""我每天盯着那群废物干活就已经够烦了，哪来的系统内存去给什么调查局写卧底报告？""",4,-5
reaction,zhoujie,"周姐把手里厚厚的记仇本甩得震天响：\n""如果有卧底，我绝对第一个把他揪出来填进承重墙里！没人能打扰我稳定领退休金的伟大计划！""",5,-3
reaction,zhoujie,"周姐毫不退让地直视经理的八只眼睛：\n""我的数据线都跟这栋大楼连死在一起了。怀疑我是来推翻公司的？你不如怀疑中央空调成精了。""",4,-4
reaction,zhoujie,"周姐压着火气，强行调低了机械声带的音量：\n""我只关心规矩和预算。如果你觉得我可疑，那就开除我试试，看看明天谁来给你收拾这堆烂摊子。""",2,-5
reaction,player,"你立刻换上一副被生活毒打多年的麻木表情：\n""经理，我昨天为了赶末班车甚至躲在垃圾桶里。如果我是精英调查员，我的潜入方式是不是太悲惨了点？""",3,-4
reaction,player,"你诚恳地举起双手，眼神清澈且愚蠢：\n""我只是一个除了按时打卡之外，毫无人生追求的底层员工。炸毁公司对我来说运动量太大了。""",4,-5
reaction,player,"你战战兢兢地看着经理的触手，咽了口唾沫：\n""我平时不爱说话，是因为我在默默地将您的企业文化倒背如流。我真的只是一颗安静又顺从的螺丝钉！""",5,-3
reaction,player,"你假装露出极其恐慌的眼神：\n""卧底？！我发誓我连公司的内网密码都记不住！我能活到现在，全靠运气和对您无条件的服从！""",4,-4
reaction,player,"你选择用最真诚的眼神直视对方，然后极其僵硬地挤出一个标准的职业假笑：\n""只要我把傻子演得够逼真，您的怀疑就追不上我。""",3,-5
ending,,"经理冷哼一声，用一条触手抓起红色的“暂缓处决”印章，重重盖在桌上的档案上：\n""你的借口勉强达到了公司的最低环保标准。现在滚出去，别在这继续污染我的空气。""",,
ending,,"经理的八只眼睛同时眯了起来，随后缓缓靠回转椅：\n""算你走运，今天食堂的碎肉机刚好故障了。回去工作，记住，我甚至能听见你心虚的呼吸声。""",,
ending,,"经理用两根触手随意地挥了挥，像是在驱赶一只苍蝇：\n""精彩的求生表演。如果今年的绩效考核有‘最佳苟活奖’，我会考虑提名你的。门在那边。""",,
ending,,"经理从金币浴缸里捞出一块纯金怀表看了一眼：\n""你的废话浪费了我赚取三千金币的时间。作为惩罚，你今晚的加班费被强制清零了。怀着感恩的心，从我眼前消失。""",,
ending,,"经理突然咧开嘴笑了起来，声音刺耳得像生锈的电锯：\n""我喜欢你的求生欲，这种恐惧能转化为极高的生产力。去吧，好好表现，别让我有收回这个笑容的机会。""",,
ending,,"经理用触手撑着下巴，语气森冷：\n""其实真相无所谓。在我的地盘，就算是真的卧底，在炸毁公司之前也得先把今天的KPI完成。滚去干活。""",,
ending,,"经理用触手在全息屏幕上划掉了一个红色的倒计时：\n""这套说辞救了你一命，暂时的。在抓到真正的卧底之前，你还有权利继续为我创造剩余价值。""",,
ending,,"经理大发慈悲地丢过来一块发霉的饼干：\n""拿去，这是对你忠诚的奖励。好好干，等抓到真正的卧底，我会特批你站在第一排观看他的物理销毁仪式。""",,
ending,,"经理长叹了一口气，按下了桌子上的开门按钮：\n""你的卑微打动了我，或者只是让我反胃，我也分不清了。无所谓，去用你肮脏的汗水洗刷你的嫌疑吧。""",,
ending,,"经理似乎失去了兴趣，八条触手各自去忙别的文件：\n""我已经把你归类到‘暂时无害但极其碍眼’的名单里了。记住，公司降本增效的裁员名单可是每天都在更新的。""",,
