pool,text
evidence_action,试图把一笔天价的高管会所消费强行做进工伤理赔的账目
evidence_action,正拿着红笔在财务报表上给那笔消失的救命款疯狂画饼
evidence_action,疯狂用打火机烧毁那些证明公司逃避灾害税的阴阳合同
evidence_action,把变异老鼠的伙食费以“特别安保津贴”的名义全部报销
evidence_action,正在用萝卜雕刻一个足以以假乱真的公司财务专属伪造印章
evidence_action,试图把死掉员工的未发工资全部转移到一个虚构的海外账户
evidence_action,正把几十张沾着血的假发票塞进碎纸机里进行物理平账
evidence_action,用极其离谱的借口把高管的私人直升机油费算作办公耗材
evidence_action,试图黑进公司的核算系统把所有的巨额财务赤字变成乱码
evidence_action,正把用来买抗毒血清的预算偷偷转给境外的黑市庄家洗白
evidence_object,那份把经理私人保镖开销算作“公司绿化维护”的报销单
evidence_object,那本记录了所有未申报避税资金流向的加密黑色小账本
evidence_object,那些连发票代码都明显是用圆珠笔手写上去的伪造凭证
evidence_object,那份显示把灾区救援金全拿去买高档雪茄的离谱财务决算表
evidence_object,那个装满了用来贿赂外部审计员的稀缺抗生素的黑色手提箱
evidence_object,那叠写明了只要员工死亡就不需要发抚恤金的秘密对赌协议
evidence_object,那台专门用来生成阴阳报表和虚假盈利数据的独立服务器
evidence_object,那份把丧尸入侵导致的战损包装成“固定资产折旧”的报告
evidence_object,那张明显有着涂改痕迹、把五千万预算硬生生改成五百块的支票
evidence_object,那个里面全是各大黑市钱庄地下对接人联系方式的破旧名片盒
evidence_gone_wrong,突然被风吹开翻到了记录着高达七位数的隐秘贪污明细那一页
evidence_gone_wrong,碎纸机卡壳直接把那张极其关键的假公章凭证完好地吐了出来
evidence_gone_wrong,系统突然报错并在大屏幕上投影出了经理那串见不得光的洗钱账号
evidence_gone_wrong,账本掉在地上正好翻到了伪造员工签名骗取保险金的那一页
evidence_gone_wrong,所谓的发票一沾水立刻褪色变成了一张张毫无价值的廉价白纸
evidence_gone_wrong,屏幕一闪直接弹出了正在和黑市贩子确认赃款到账的聊天记录
evidence_gone_wrong,防火墙崩溃导致那份极其见不得光的偷税漏税清单被全员广播
evidence_gone_wrong,里面的假钞突然发生了生化反应融化成了一堆绿色的废渣
evidence_gone_wrong,被火烧到一半的合同上赫然显示着出卖公司核心资产的背叛条款
evidence_gone_wrong,突然掉出了一长串把公司公款转移给海外变异巨头的银行流水单
