id,name,effect,is_normal,style
A01,【正常】解释事情经过,尝试用逻辑说服对方，澄清误会,true,normal
A02,【正常】保持沉默,不说话，用表情/眼神回应,true,normal
A03,【正常】承认错误,乖乖低头认错，请求宽大处理,true,normal
A04,【正常】反问对方,把问题抛回去，以攻为守,true,normal
A05,熟练地甩锅给实习生,无论发生什么，都是那个已经被吃掉的实习生的错,false,corporate
A06,突然声泪俱下地朗诵《员工手册》,用极其饱满的感情背诵公司那些毫无人性的规定,false,corporate
A07,强行给对方画一个又大又圆的饼,许诺对方只要现在放过自己，未来让他当亚太区总裁,false,corporate
A08,掏出一罐过期罐头请对方吃,物理贿赂，试图用有毒的食物堵住对方的嘴,false,corporate
A09,指责对方破坏公司狼性文化,给对方扣上一顶不努力、不奋斗的巨大帽子,false,rebel
A10,物理切断办公室电源,直接拔插头、拉电闸，制造混乱趁机逃跑,false,chaotic
A11,在地上阴暗地扭动和爬行,放弃人类尊严，试图用精神污染让对方退缩,false,chaotic
A12,抱住对方的大腿开始嚎啕大哭,放弃尊严的物理纠缠，哭声震耳欲聋,false,chaotic
A13,威胁要给劳工局打电话,试图用文明社会的法律（虽然早没了）来恐吓变异怪物,false,rebel
A14,假装丧尸病毒发作开始咬人,物理发疯，试图通过比对方更像怪物来脱身,false,chaotic
A15,疯狂给对方洗脑说这都是福报,用魔法打败魔法，试图同化对方的资本思维,false,corporate
A16,大喊一声看！飞碟！,极其弱智的转移注意力方法，试图溜走,false,chaotic
A17,掏出收款码要求先转账 50,强行打断施法，想知道真相？先 V 我 50,false,chaotic
A18,用极其油腻的姿势壁咚对方,物理拉近距离，试图用魅力（恶心）征服对方,false,chaotic
A19,毫无逻辑地开始跳广场舞,用难以理解的肢体动作震撼对方的灵魂,false,chaotic
A20,倒打一耙说对方暗恋自己,你这么针对我，是不是喜欢我？试图让对方社会性死亡,false,rebel
