id,name,effect,tone,is_normal,style,peek_risk,peek_affinity_bias,peek_suspicion_bias
S01,沉默以对,什么都不说，只让空气继续变冷,克制冷静,true,normal,0,0,0
S02,假装没看见,把异常当作日常继续干活,麻木回避,true,normal,0,0,0
S03,低头记笔记,把眼前细节快速记在小本子上,谨慎观察,true,normal,0,0,0
S04,原地发呆,盯着某个角落放空三秒,迟钝恍惚,true,normal,0,0,0
S05,轻咳一声壮胆,用一点声音给自己找存在感,紧张硬撑,true,normal,0,0,0
S06,装作在加班,打开表格假装在处理紧急任务,职场伪装,false,corporate,0,0,0
S07,按流程打卡拍照,把现场当成合规巡检留档,流程至上,false,corporate,0,0,0
S08,念公司口号稳定情绪,用口号覆盖心里的不安,自我洗脑,false,corporate,0,0,0
S09,把锅先甩给系统,先在心里认定是设备故障,理性甩锅,false,corporate,0,0,0
S10,主动远离异常点,和可疑物体保持安全距离,谨慎撤离,true,normal,0,0,0
S11,走近确认细节,冒险靠近异常来源查看,冒险试探,false,rebel,0,0,0
S12,对着空气反问一句,明知没人仍旧出声确认,强装镇定,false,rebel,0,0,0
S13,敲两下墙试探回音,用声音判断周围是否异常,技术探测,false,rebel,0,0,0
S14,把证物塞进口袋,先拿走可疑物再说,先手控制,false,rebel,0,0,0
S15,突然切换成摆烂模式,直接告诉自己今天就这样吧,消极躺平,false,chaotic,0,0,0
S16,和打印机认真对话,把机器当同事沟通,荒诞自洽,false,chaotic,0,0,0
S17,绕场一圈跳开场舞,用离谱动作给自己壮胆,癫狂释放,false,chaotic,0,0,0
S18,掏出工牌做驱邪仪式,把工牌当护身符使用,迷信防御,false,chaotic,0,0,0
S19,给异常现象起代号,把恐惧转成可管理的命名,理智分离,true,normal,0,0,0
S20,按下应急停止键,先让所有设备停机再观察,风险止损,true,normal,0,0,0
