combo,text
steady,你的冷静在死寂的房间里显得格格不入。通风口里的那双眼睛看了你一会，觉得无聊便缩了回去。
steady,你熟练地假装一切正常。在这个连呼吸都要扣绩效的公司里，没有反应就是最好的反应。
steady,你默默做完了手头的事，空气中的诡异氛围似乎被你这该死的班味儿给彻底镇住了。
comply,你对着空气一顿输出，热情得仿佛下一秒就要被提拔为副主管。角落里的阴影被你的卷王气息吓退了。
comply,你完美融入了这荒诞的环境，甚至主动帮那摊不明黏液擦了擦地板。公司就需要你这样的牛马。
comply,你顺从的举动让整个房间都充满了诡异的祥和。连天花板上的吊灯都为你闪烁了两下以示表扬。
rebel,你强硬的反抗在空房间里回荡。墙皮被你的气势震得掉了一块，砸在了一只路过的变异蟑螂头上。
rebel,你对着虚无的空气狠狠竖了个中指。没人在乎，但你精神上短暂地战胜了这个操蛋的末日。
rebel,你粗暴的举动惹恼了房间里的某种不可名状之物，远处的灯管发出一声凄厉的爆响，彻底熄灭了。
contrast,你的反应过于割裂，导致这个空房间的物理法则都停顿了一秒。一张报表因为承受不了这种逻辑而自燃了。
contrast,你做出了一个连丧尸看了都会摇头的不明所以的动作。空气中弥漫起一股极其尴尬的死寂。
contrast,在这样恐怖的氛围里，你的脑回路依然清奇得宛如外星人。隐形在暗处的怪物大概已经被你整不会了。
crazy,你开始了彻底的疯狂表演。在这阴暗的密室里，你看起来比外面那些变异十次的怪物还要令人毛骨悚然。
crazy,你发疯的举动让房间本身的邪气都黯然失色。如果有隐藏摄像头，保安现在应该已经在写辞职信了。
crazy,你扭曲的肢体动作配合着癫狂的笑声，成功把房间里残留的最后一点生者的理性全部物理超度了。
