npc_id,combo,text
laowang,steady,老王打了个哈欠，连眼皮都没抬：「哦，你刚说话了吗？我还以为是通风管里丧尸在咳嗽。」
laowang,comply,老王难得竖起了大拇指：「对对对，你说的都对，所以这锅你背了对吧？我去睡了。」
laowang,rebel,老王的死鱼眼转了过来：「你声音太大了，吵到我计算还有几年能领退休金了。」
laowang,contrast,老王看着你莫名其妙的举动，慢吞吞地从兜里掏出一把瓜子开始磕：「继续表演，我正无聊呢。」
laowang,crazy,老王被你吓得手一抖，保温杯里的枸杞掉了一地：「兄弟，你这病情，公司可是不给报销精神损失费的。」
xiaoli,steady,小李推了推眼镜，拿出小本子疯狂记录：「你刚才的微表情极度缺乏对公司的忠诚，我已经记下来了。」
xiaoli,comply,小李激动地握住你的手：「太棒了！只要我们把这个点子包装成我的创意，经理一定会给我升职的！」
xiaoli,rebel,小李的鼠须瞬间炸立：「你居然敢违背公司的核心价值观？！你完了，我要在群里实名艾特你！」
xiaoli,contrast,小李警惕地后退了两步，用看竞争对手的眼神盯着你：「你这是什么新型的职场内卷套路？休想卷赢我！」
xiaoli,crazy,小李尖叫一声，直接连滚带爬地钻进了办公桌底下：「保安！保安呢！这里有个不服从KPI的疯子！」
ahua,steady,阿花理了理头发，假装没听见你的话：「哎呀，今天的妆有点花了呢，希望外面的丧尸哥哥不要嫌弃~」
ahua,comply,阿花立刻往你身后躲了躲：「哥哥好有见地哦~那接下来的危险工作就全交给你啦，人家怕怕~」
ahua,rebel,阿花瞬间红了眼眶，掏出带血的纸巾：「你为什么要这么凶人家……经理~你看他欺负我！」
ahua,contrast,阿花歪着头，用一种看智障的眼神悄悄翻了个白眼，表面上却依然保持着甜美的假笑：「哎？你在干嘛呀~」
ahua,crazy,阿花发出一声穿透耳膜的高分贝尖叫，随后以打破百米世界纪录的速度，踩着高跟鞋消失在了走廊尽头。
dazhuang,steady,大壮揉了揉肚子，完全没理你：「你说这些能当饭吃吗？不能的话就别打扰我啃这块变异骨头。」
dazhuang,comply,大壮高兴地一巴掌拍在你背上，你听到了自己肋骨断裂的声音：「好兄弟！一会食堂的过期剩饭我分你一半！」
dazhuang,rebel,大壮举起了砂锅大的拳头，但在半空中停住了：「算了，经理说打坏了同事要扣我的伙食费，算你走运。」
dazhuang,contrast,大壮挠了挠自己那颗不太好使的光头：「你是不是饿出幻觉了？要不我把这只蟑螂让给你补补脑子？」
dazhuang,crazy,大壮猛地护住自己那罐发霉的蛋白粉，警惕地看着你：「你休想装疯卖傻抢我的吃的！想都别想！」
zhoujie,steady,周姐用机械眼冷冷地扫了你一遍，从怀里掏出那本厚厚的黑皮记仇本，默默地添上了浓墨重彩的一笔。
zhoujie,comply,周姐冷笑了一声，收起了机械臂上的电击器：「算你脑子转得快，今天就暂时不把你扔进焚化炉了。」
zhoujie,rebel,周姐的半边机械脸开始冒出危险的电火花：「我看你是活腻了！老娘今天就要教教你黑心公司的规矩！」
zhoujie,contrast,周姐皱起眉头，像看垃圾一样看着你：「你的脑神经是不是被病毒啃光了？别在这碍老娘的眼。」
zhoujie,crazy,周姐直接愣住了，手里的茶杯被机械爪捏得粉碎。她显然没料到这家公司里还有比她更神经病的存在。
boss,steady,经理用一条触手烦躁地敲击着桌面：「你的平庸让我感到恶心。别废话了，马上去给我干活！」
boss,comply,经理的八只眼睛弯成了月牙，触手在半空中满意地挥舞：「很好，保持这种被完美剥削的姿态，下个月给你发个奖状。」
boss,rebel,经理所有的触手瞬间绷直如钢管，办公室的温度仿佛降到了冰点：「你这是在向赋予你生存权利的资本挑衅！」
boss,contrast,经理的一条触手困惑地挠了挠自己光秃秃的脑袋：「你这毫无逻辑的举动，难道是想逃避本月的末位淘汰？太天真了。」
boss,crazy,经理吓得八条触手紧紧抱成一团，猛地缩到了办公椅后面：「保安组！马上把这个散发着贫穷和疯狂气味的家伙丢出去！」
