room,text
office,偌大的办公区空无一人，只有某台没断电的碎纸机在缓慢咀嚼着一张带血的考勤表。
office,日光灯闪烁不定，你身旁的工位上，一盆发财树正试图用气生根敲击键盘发送邮件。
office,空气中弥漫着廉价咖啡和绝望的味道，通风管道里隐约传来主管让人加班的幽灵般的回音。
office,你独自站在工位间，地毯上有一串还在冒着绿泡的不明黏液脚印，一路延伸到复印机里。
office,整个区域死寂沉沉，只有一台正在自动打印离职申请的打印机打破了沉默，纸上全是乱码。
meeting,会议室空荡荡的，投影仪自动亮起，正在播放一段只有雪花点和诡异咀嚼声的本季度财报。
meeting,白板上用刺眼的红笔画着一个巨大的笑脸，旁边的备注写着：“下一个就轮到你了。”
meeting,你独自坐在会议桌旁，发现每张椅子下都绑着一个正在倒计时的定时爆炸减压玩具。
meeting,这里没有活人，但半空中悬浮着一个由废弃PPT拼成的难以名状的几何体。
meeting,会议室的隔音效果好得令人窒息，你甚至能听到自己脑血管因为KPI压力而爆裂的幻听。
warehouse,昏暗的仓库里，一座由过期变质午餐肉堆成的金字塔正在有节奏地起伏，仿佛在呼吸。
warehouse,你孤身一人，几只长着人类耳朵的变异老鼠正排着队，把一箱生锈的螺丝钉搬进下水道。
warehouse,防爆门外传来丧尸挠门的声音，而你正前方的货架上，一排报废的客服机器人突然齐刷刷地转头看向你。
warehouse,空气里全是防腐剂的味道，一个没有贴标签的巨大铁桶正向外渗出荧光绿色的可疑液体。
warehouse,仓库深处的灯泡砰然碎裂，黑暗中传来某个人含糊不清的嘟囔：“只要吃不死，就是零战损……”
pantry,茶水间里空无一人，但微波炉正在疯狂运转，里面加热着一只还在疯狂拍打玻璃的断手。
pantry,饮水机的桶里漂浮着两颗眼球，它们随着水位的下降，死死盯着你伸向纸杯的手。
pantry,公共冰箱的门半掩着，一条长满触手的生物正试图把同事的过期酸奶拖进保鲜盒。
pantry,寂静中，咖啡机突然发出惨叫，喷射出一股浓稠如沥青、带着强烈怨气的打工人特调黑咖。
pantry,水槽里堆满了发霉的马克杯，其中一个杯子上的笑脸图案正以肉眼可见的速度变成哭丧脸。
reception,前台的迎宾假花已经变异成了食人草，正试图把访客登记簿吞下去掩盖线索。
reception,大厅空无一人，但自动感应门却在疯狂开合，对着外面游荡的隐形空气热情地说着“欢迎光临”。
reception,你独自站在接待区，墙上的企业文化标语突然剥落，露出了底下血淋淋的“快逃”两个大字。
reception,那个坏掉的安检门突然发出刺耳的警报，虽然没有任何人通过，但它播报出了一长串你的罪状。
reception,沙发上散落着几件沾满脑浆的外卖员制服，对讲机里正不断循环播放着极其礼貌的催单声。
