combo,text
steady,经理用八只眼睛上下打量着你，似乎在评估你的情绪稳定性。最终，他收起了那几条充满攻击性的触手，冷哼了一声：「算你识相，回去把你今天的KPI翻倍，我就当这次谈话没发生过。」
steady,面对你的淡定，经理感到了一丝无趣。他用一条触手烦躁地揉了揉太阳穴：「行了，别在这跟我装死鱼。出去，记得顺手把外面那个丧尸的头给我砍了算作今天的考勤。」
comply,经理的八条触手开心地在半空中扭起了秧歌。「很好！我就知道你是个天生的牛马材料！」他甚至大方地用触手拍了拍你的肩膀，并在你衣服上留下了一滩黏液，「下个月的优秀耗材奖，我绝对投你一票。」
comply,「这才是我们救世主集团需要的狼性基因！」经理发出了一阵令人毛骨悚然的狂笑，立刻掏出一份卖身契，「既然你这么有觉悟，把这份死后自愿捐献器官的同意书也签了吧，这可是极大的荣耀。」
rebel,空气瞬间降到了冰点。经理所有的触手像毒蛇一样绷紧，八只眼睛同时闪烁着危险的红光。「你很有种。」他咬牙切齿地吐出几个字，「希望你在今晚的投票环节里，还能保持这份该死的骨气。」
rebel,经理怒极反笑，一条触手猛地抽碎了旁边的实木椅子。「在这家公司，连外面的丧尸都不敢跟我顶嘴！」他指着大门咆哮道，「滚出去！你的名字已经正式上了我的物理清洗名单了！」
contrast,经理被你这不按套路出牌的反应搞得大脑宕机了。他的八条触手在半空中尴尬地缠成了死结。过了好几秒，他才结结巴巴地说：「你……你是不是刚才在茶水间吃错变异蘑菇了？给我滚出去洗把脸！」
contrast,经理陷入了深深的自我怀疑，他甚至拿出一本《职场PUA厚黑学》翻了翻，试图找到应对你这种奇葩的方法。最后他放弃了：「你的逻辑简直是对公司规章制度的侮辱。马上从我眼前消失。」
crazy,面对比自己还像怪物的你，经理竟然下意识地往后缩了缩。他用三条触手紧紧护住自己的纯金保温杯，颤抖着说：「疯了……又逼疯了一个。安保呢？！快把这个精神病给我弄出去！」
crazy,经理被你的疯狂举动彻底吓到了，他甚至以为你是外面跑进来的高级变异体。他果断用全部八条触手把自己紧紧包裹成一个防御球，闷声闷气地喊道：「你赢了！今天的KPI算你满分，赶紧走！」
