pool,text,reward_type,reward_value_min,reward_value_max,weight
solo_act1,你独自在茶水间摸鱼。\n角落那台据说从上世纪就开始服役的自动贩卖机突然发出一阵剧烈的抽搐，伴随着齿轮摩擦的惨叫，吐出来一个没有标签的生锈铁罐。\n罐子落在出货槽里，表面还带着诡异的余温。\n更要命的是，它居然还在微微震动，里面似乎有什么东西正在疯狂地做着有氧运动。,,,,3
solo_act1,主办公区空无一人，只有中央空调吹着带有丧尸防腐剂味的冷风。\n突然，那台常年卡纸的碎纸机居然逆向运转了起来，硬生生吐出了一张拼凑完整的纸条。\n上面用红色的马克笔潦草地写着：“如果看到这行字，快跑，他们把上个月的销冠做成了午餐肉。”,,,,3
solo_act1,仓库里昏暗得像个停尸房。\n你正数着货架上的过期罐头，突然，头顶传出“啪嗒”一声闷响。\n一滴绿色的、散发着刺鼻薄荷味的黏液滴在了你的鞋面上。\n你抬起头，看到通风管道的百叶窗正被什么庞然大物从内部向外挤压，伴随着一阵极其标准的播音腔：“要……要不要了解一下最新的理财产品……”,,,,3
solo_act1,你坐在工位上，正准备闭上眼睛假装思考人生。\n对面的电脑屏幕毫无征兆地亮了起来。\n屏幕上没有壁纸，只有一行不断跳动的绿色代码，翻译过来居然是：“警告：检测到当前房间内存在非标准碳基生物……正在准备释放神经毒气。”\n过了两秒，屏幕又弹出一个弹窗：“试用期免费体验结束，请充值50金币继续释放。”,,,,3
solo_act1,你独自走过走廊，墙上那幅写着“把公司当家”的企业文化海报今天看起来格外诡异。\n你凑近一看，发现海报背景里那些微笑着的模范员工，每个人的眼睛部位都被人死死地钉上了图钉。\n而图钉的排列形状，刚好是一个箭头，直直地指向地板上一块明显被撬动过的瓷砖。,,,,3
solo_act1,休息室的沙发缝里卡着一个东西。\n你本以为是上个倒霉蛋掉的硬币，费力抠出来一看，竟然是一个带血的录音笔。\n录音笔的播放键是卡死的，里面循环播放着八爪鱼经理那标志性的黏糊糊的声音：“第五个……这是本月第五个自以为是的调查员了。\n肉质有点柴，下次记得多加点黑胡椒。”,,,,3
solo_act1,房间里异常安静。\n你路过阿花的工位时，发现她桌上那盆长得像食人花的绿植正背对着你。\n但当你走过去的瞬间，这盆植物突然像猫一样扭过头，不仅冲你吐了一口带着咖啡味的残渣，还在叶片上浮现出一行荧光字：“别以为我不知道你昨天没洗手就来上班了，我什么都看着呢。”,,,,3
solo_act1,你在更衣室里，刚打算偷偷拉开拉链喘口气。\n旁边的储物柜突然发出“咚咚咚”的撞击声。\n频率极度规律，三长两短。\n紧接着，一张带血的餐巾纸从门缝下面被塞了出来，上面写着：“不要出声。\n不要回头。\n假装你是一个没有感情的订书机。”,,,,3
solo_act1,墙上的挂钟发出一声沉闷的“咔哒”声，指针硬生生停在了十三点整。\n你还没来得及吐槽这个反人类的时间刻度，就发现整个房间的灯光变成了诡异的暗红色。\n紧接着，你听到办公桌底下的阴影里，传来了清脆的、类似数钱的声音。,,,,3
solo_act1,你正站在经理办公室门外不远处。\n门虽然紧闭着，但门缝底下正在往外渗出一滩散发着奇异果香味的蓝色液体。\n液体在地上蜿蜒爬行，竟然慢慢汇聚成了一个指向你脚尖的箭头，箭头旁边还浮现出一行小字：“踩上去，有惊喜。\n如果没有惊喜，请联系后勤部收尸。”,,,,3
solo_act2_steady,你极其冷静地退后了半步，把所见所闻记在脑子里。\n只要你不主动去招惹，这破大楼里的异常现象就只能算作背景板。\n你深吸一口气，决定先保住命再考虑真相。,,,,3
solo_act2_steady,你没有任何多余的动作，只是默默调整了站姿，确保自己离逃生通道最近。\n在末日公司里活得久的秘诀，就是永远不要对不该好奇的东西好奇。\n你像个没有感情的摄像头一样，把现场细节刻进记忆。,,,,3
solo_act2_steady,你用极其专业的反侦察思维扫视了一圈，确认没有触发任何肉眼可见的陷阱。\n只要不轻易触碰，这些诡异的线索就无法伤害你。\n你决定先按兵不动，等合适的时机再把它们变成别人的噩梦。,,,,3
solo_act2_comply,你熟练地打开员工手册，企图在里面找到应对这种情况的标准化操作流程。\n当然，手册上并没有写怎么处理这些要命的灵异事件。\n于是你决定把它归类为“办公设备自然损耗”，然后心安理得地继续摸鱼。,,,,3
solo_act2_comply,你深谙这套黑心企业的生存法则，立刻装出一副被工作彻底榨干的麻木模样。\n你用标准的职场假笑面对眼前的异常，仿佛它只是一个有点烦人的甲方。\n只要你打字的速度够快，所有的恐怖现象就都追不上你。,,,,3
