room,text
office,小助理透过百叶窗，看到工位上有一堆文件正在半空中自动批阅自己，但其实是一个透明的丧尸在干活。
office,办公区里弥漫着绿色的毒雾，隐约能看到有人在雾中疯狂敲击着一台根本没有插电的键盘。
office,小助理看到有人试图用订书机把自己的嘴唇缝起来，以防在上班时间不小心骂出声音。
meeting,会议室的圆桌旁坐着几具穿着西装的白骨，白板上的激光笔红点正在疯狂乱窜，仿佛在进行某种降神仪式。
meeting,小助理发现会议室里没有人，但所有的椅子都在围绕着投影仪做极其缓慢的逆时针旋转。
meeting,画面里，一个不明生物正试图把一份长达五百页的PPT物理塞进碎纸机，但碎纸机一直往外吐着鲜血。
warehouse,仓库的角落里，小助理拍摄到一个巨大的阴影正在把一箱箱临期食品吞进去，然后吐出全新的包装盒。
warehouse,镜头扫过，货架上的变异老鼠正在举行某种邪恶的集会，它们手里似乎还举着要求涨薪的迷你横幅。
warehouse,小助理看到一个人影在拼命逃窜，后面追着一台发狂的叉车，叉车上还挂着“本月优秀员工”的锦旗。
pantry,茶水间里，一台咖啡机长出了两条修长的腿，正准备从窗户翻出去，大概是受够了被白嫖的日子。
pantry,小助理在冰箱后面看到，有人正用滴管小心翼翼地把丧尸病毒收集起来，似乎准备加进明天的免费早餐里。
pantry,画面极其模糊，但能勉强辨认出一个人正试图把头塞进微波炉里，大概是想给自己来个硬核的头部按摩。
reception,前台的电子大屏正在疯狂闪烁求救信号，而迎宾的地毯上有一条长长的拖拽血迹，一路延伸到了门外。
reception,小助理看到大门外的丧尸不仅没有砸门，反而排起了整齐的长队，仿佛在等待领取什么特殊的访客大礼包。
reception,接待处的发财树已经长到了天花板，它的枝条上挂满了一个个闪闪发光的金属名牌，全是前任员工的遗物。
