npc_id,text,is_evidence_hint
laowang,你无意间瞥到老王把一叠文件塞进了外套夹层，动作鬼鬼祟祟的。,false
laowang,老王对着碎纸机发呆了半分钟，确认没人后才把一页打印件撕成三段分别丢进不同垃圾桶。,false
laowang,老王把保温杯底部拧开，从里面倒出一张折叠纸条又迅速塞回去。,false
laowang,老王在工位边缘贴了张便签，写完立刻撕掉吞进嘴里，像在销毁口供。,false
laowang,老王借口去拿胶带，却顺手把一只带编号的U盘揣进袖口。,false
xiaoli,小李在登记表上改了三次数字，最后那版和前两版差得离谱，还装作什么都没发生。,false
xiaoli,小李把两份同名文件对调后拍照留存，然后若无其事地继续打字。,false
xiaoli,小李趁四下无人时把一张审批单塞进打印机背板，像是在藏备用版本。,false
xiaoli,小李把电话音量调到最小，边听边点头，最后只在本子上写了一个字母。,false
xiaoli,小李把监控盲区位置画在便签上，折成小方块放进了胸牌夹层。,false
ahua,阿花清点物资时故意把一箱编号跳过，随后把对应标签揉皱扔进脚边纸篓。,false
ahua,阿花把报损单上的时间改成凌晨，又把原件压在最底层文件夹里。,false
ahua,阿花对着货架拍了三张同角度照片，像在核对某个不该出现的缺口。,false
ahua,阿花开锁进了储物间三十秒就出来，手里多了一把不在清单上的钥匙。,false
ahua,阿花把一支记号笔掰开，取出里面卷着的小纸条后才继续盘点。,false
dazhuang,大壮搬箱子时把最重那箱单独放在门后，特意避开了出入监控角度。,false
dazhuang,大壮假装系鞋带，顺手把一张出库条塞进鞋垫下面。,false
dazhuang,大壮对着货运清单比口型念了两遍，最后悄悄划掉了一个收货人名字。,false
dazhuang,大壮把封条剪开又贴回去，动作熟练得像不是第一次。,false
dazhuang,大壮清理推车时从夹层抖出一枚工牌芯片，立刻捏在掌心不让人看见。,false
zhoujie,周杰伦把会议纪要里的一句结论删掉后保存成新版本，却把旧版本改名藏到系统角落。,false
zhoujie,周杰伦在白板上写下三个人名又迅速擦掉，只留下一个圈起来的代号。,false
zhoujie,周杰伦对着打卡机刷了两次不同卡，第二次时还故意挡住了摄像头。,false
zhoujie,周杰伦把一封标记“已阅”的邮件重新标成“未读”，像是在伪造时间线。,false
zhoujie,周杰伦把便携硬盘插上两秒就拔掉，窗口还没关就先把设备记录清空了。,false
