location,npc,text,condition,weight
office,laowang,"老王把头埋在文件堆里假装工作,实则把电脑屏幕调成了竖屏看小说,被{player_name}撞了个正着",negative,1.0
office,xiaoli,"小李偷偷把{player_name}桌上的KPI报表拿走,在自己的名字下面圈了几个红圈",negative,1.0
office,zhoujie,"周姐发现桌上的咖啡杯被人挪过位置,机械义眼锁定了{player_name},空气中只剩义肢液压的咝咝声",negative,1.0
office,player,"{player_name}不小心把经理刚签完字的报销单卷进了碎纸机,办公室所有人都听见了那一声咔嚓",negative,1.0
office,laowang,"老王下班前一秒帮{player_name}挡下了一份突然从天而降的紧急文件",positive,0.5
office,xiaoli,"小李正在把一份机密文件用碎纸机送走,看到{player_name}进来时手抖了一下",negative,1.0
office,ahua,"阿花在工位前哭得梨花带雨,旁边坐着面无表情的{player_name},一份打翻的文件夹在两人之间",negative,1.0
meeting,zhoujie,"周姐用机械臂在白板上写下「业绩末位」,然后慢慢转过头看着{player_name}",negative,1.0
meeting,xiaoli,"小李在会议桌下偷偷给{player_name}发了一条「经理今天心情不好,小心点」的字条",positive,0.5
meeting,player,"{player_name}在汇报时把「季度业绩」念成了「骷髅尸蹟」,会议室一片死寂",negative,1.0
meeting,laowang,"老王在会议中睡着了,脑袋撞在桌子上的声响盖过了经理的咆哮,大家都看了过来",negative,1.0
meeting,ahua,"阿花在会议室角落小声地用手机录音,看到{player_name}走近时迅速塞进了围裙口袋",negative,1.0
meeting,dazhuang,"大壮趁会议间隙在桌底下啃蛋白棒,屑掉了一地,但他帮{player_name}拣起了掉在地上的笔",neutral,1.0
warehouse,dazhuang,"大壮搬箱子时一脚踢开了一个标着「机密」的纸箱,里面滚出来的东西让{player_name}的眼睛瞪大了",negative,1.0
warehouse,laowang,"老王在仓库角落里发现了一摞过期三年的产品,他默默地用新标签盖上了旧的,然后看了{player_name}一眼",negative,1.0
warehouse,player,"{player_name}在清点库存时,无意中翻出了一本不该出现在仓库里的账本,正要翻开就听见身后脚步声",negative,1.0
warehouse,zhoujie,"周姐在盘点时发现少了一箱货,她的机械瞳孔放大了三倍直勾勾盯着{player_name}",negative,1.0
warehouse,dazhuang,"大壮举起一个比自己头还大的箱子,稳稳地放到了{player_name}够不着的高架上",positive,0.5
warehouse,xiaoli,"小李在仓库阴影里给经理发了条信息,然后偷偷瞥了{player_name}一眼",negative,1.0
